Start,Stop
0.67434,3.6678
4.5066,5.1645
6.5625,9.7862
10.641,16.76
17.237,20
20.839,21.036
21.694,22.434
22.944,24.934
25.625,25.658
26.579,31.859
33.602,34.638
35.214,35.822
37.023,38.405
38.947,41.02
41.53,44.046
44.934,59.539
60.214,60.378
60.921,63.24
63.75,64.753
65.263,68.092
69.128,84.03
84.737,155.92
156.46,185.56
186.1,197.35
198.44,199.06
199.75,200.33
200.92,202.89
203.52,204.62
205.2,208.87
209.49,211.63
212.6,216.02
216.6,217.91
218.75,226.1
226.63,231.22
231.81,235.82
236.4,238.44
239.52,240.05
240.89,248.72
249.88,250.81
251.86,252.78
253.6,254.31
255,257.07
258.12,260.84
261.4,262.65
263.14,265.23
266.02,266.69
267.27,268.11
268.59,269.59
270.07,275.59
276.07,280.07
280.59,281.37
282.01,285.54
286.28,288.16
289.31,290.03
290.89,290.99
291.76,292.17
293.06,294.08
294.67,295.08
295.64,295.67
296.2,296.53
297.7,300.71
