Stop,Start
2.7667,4.2667
5.0833,5.9167
5.95,6.7333
7.2667,7.7667
7.8,8.6
9.3667,10.617
10.667,11.217
13.783,14.983
19.867,21.267
22.767,24.217
24.867,25.5
26.567,27.167
27.2,28.05
28.083,30.983
33.033,37.5
38.683,40.267
40.417,41.017
41.233,41.883
41.917,43.533
43.567,44.417
44.45,45.017
45.05,46.2
46.233,46.733
54.667,56.567
57.45,59.167
60,60.95
63.933,64.667
67.35,68.333
70.967,72.05
72.083,73.7
76.15,79.583
82.167,82.667
83.15,84.833
87.467,88.05
88.083,89.317
91.85,92.583
95.767,96.767
103.78,104.68
106.97,107.82
117.15,117.67
122.93,123.6
131.8,132.47
134.55,135.55
144.27,144.88
149.85,150.8
158.38,159.03
161.47,162.05
169.32,169.93
172.6,173.38
180.73,181.6
186.37,187.07
189.2,190.4
205.65,206.53
228.18,229.5
234.55,235.4
238.88,239.63
242.15,242.67
247.25,247.97
271.25,272.2
281.08,281.87
