Start,Stop
0,5.35
6.2333,8.6833
9.6833,13.85
15.65,15.7
16.817,21.333
22.05,26.367
27.2,35.167
35.8,37.867
39.233,39.6
40.317,48.217
49.517,53.433
54.667,66.433
67.45,70.1
70.6,74.167
74.967,76.5
77.267,79.667
80.283,82.1
82.867,85.283
86.133,86.167
86.933,91.567
92.067,92.1
92.733,106
107.62,107.72
108.23,108.45
110,112.67
113.32,133.28
133.9,138.02
138.55,138.63
139.18,142.25
142.95,143.6
144.58,147
147.78,155.82
156.57,161.25
161.87,165.68
166.38,174.35
175.37,178.68
179.67,182.53
183.07,186.32
187.75,195.68
197.02,203.93
204.48,207.2
207.9,209.33
209.85,209.92
211.12,215.58
216.37,216.4
217.15,219.7
220.48,223.72
224.58,232.52
233.25,247.43
248.77,250.65
251.27,255.95
256.8,257.85
258.7,260.88
261.73,266.67
267.15,267.28
268,268.03
268.8,268.92
270.1,270.4
271.03,273.68
274.28,277.82
278.67,282.95
283.8,284.52
285.52,292.62
294.32,294.38
294.93,296.13
296.82,298.12
299.27,299.63
