Start,Stop
0,10.283
13.15,21.967
22.95,47.333
49.783,59.9
60.383,60.533
61.267,73.333
74.6,80.267
83.517,85.033
85.783,87.883
88.617,92.467
104.02,104.08
104.65,105.08
105.63,118.63
119.52,136.63
137.32,143.17
146.38,153.23
153.85,155.4
156.35,158.22
158.8,166.27
167.48,174.58
175.18,192.62
195.08,201.83
203.77,206.02
206.6,206.63
207.82,211.28
214.53,218.32
218.85,226.25
227.75,227.78
230.42,233.83
235.52,240.27
242.12,247.28
247.9,253.22
254.2,264.45
267.08,267.17
268.1,269.93
270.45,276.28
279.8,283.38
285.48,286.77
290.47,294.85
296.77,300
