T1,T2
7.8168,11.417
12.034,13.867
16.667,19.467
20.05,21.8
23.167,25.817
30.85,32.4
32.817,33.401
33.434,34.184
35.601,36.634
36.667,37.434
39.967,41.184
41.967,45.101
47.334,48.234
48.267,53.384
54.201,58.951
59.434,64.234
65.501,67.768
70.551,71.084
71.118,71.734
73.801,74.318
74.368,76.085
76.118,80.618
234.05,235.15
235.74,236.64
238.19,239.52
240.67,242.04
242.45,243.22
243.25,243.87
245.47,246.82
246.85,247.5
248.84,249.69
255.04,255.72
257,258.3
258.79,260.59
261.74,262.84
262.87,263.49
263.84,264.35
264.99,266.07
266.89,268.3
274.5,276.57
277.5,281.17
281.99,283.24
283.27,285.64
288.09,288.84
290.52,292.89
292.92,293.64
293.8,298.42
299.92,301.32
