T1,T2
5.0164,5.4331
8.4329,8.7496
11.383,11.616
14.783,15.233
17.266,17.649
19.716,20.182
59.13,59.564
63.097,63.33
64.88,65.263
72.096,72.363
74.063,74.346
80.929,81.346
84.262,84.562
85.162,85.412
88.096,88.529
100.96,101.26
114.46,114.76
118.69,118.98
121.83,122.13
127.19,127.46
128.38,128.74
133.73,134.04
147.21,147.53
156.39,156.73
158.96,159.33
167.49,167.76
176.82,177.24
197.26,197.66
198.41,198.69
199.29,199.57
201.21,201.61
207.71,207.96
210.62,210.92
214.56,214.79
223.14,223.41
228.96,229.31
233.46,233.91
238.8,239
249.87,250.1
252.55,252.75
262.67,263.07
268.19,268.49
