Stop,Start
6.6,7.1
25.133,26.083
28.833,29.667
46.2,47.167
59.433,60.017
64.3,64.8
70.3,70.983
71.617,72.333
73.7,74.3
81.767,82.383
83.933,84.667
86.283,87.317
89.633,90.15
91.733,92.6
97.8,98.35
99.517,100.15
105.03,105.63
107.72,108.68
111.87,114.08
121.97,123.98
125.17,126
126.57,127.9
139.15,139.82
143.6,144.75
145.42,145.95
147.8,148.3
209.45,209.97
210.42,214.53
214.98,216.28
216.72,217.72
219.03,219.67
220.65,221.25
221.42,221.9
222.62,225.3
237.17,238.13
252.65,253.13
259.87,260.35
261.62,262.3
265.12,265.87
266.63,267.28
276.2,276.77
277.03,277.75
282.82,283.55
286.25,286.82
288.33,288.83
289.93,290.62
294.77,295.28
301.77,302.82
