T1,T2
5.5333,5.9
13.517,13.9
42.267,42.583
43.05,43.4
47.833,48.267
62.017,62.267
73.817,74.3
103.28,103.65
110.28,110.67
111.55,111.8
115.47,115.8
134.23,134.37
135.9,136.3
138.33,138.75
150.27,150.48
152.22,152.38
158.12,158.53
169.25,169.45
177.72,177.93
188.13,188.38
191.43,191.6
204.17,204.55
208.37,208.77
212.05,212.25
224.48,224.78
226.35,226.68
228.3,228.48
230.82,231.13
240.18,240.42
243.67,243.95
252.52,252.9
254.2,254.67
258.8,259.18
265.4,265.67
267.92,268.33
270.13,270.3
271.5,271.85
273.2,273.58
284.6,284.92
291.98,292.37
297.02,297.42
