T1,T2
0.016667,0.95
5.1,11.433
14.283,15.067
16.917,23.15
26.817,38.967
41.883,57.267
60.517,65.05
67.233,70.25
70.283,73.333
76.167,81.9
85.65,91.767
94.883,95.55
96.767,102.13
105.18,110.68
113.47,114.3
114.33,118.83
122.08,122.7
122.73,127.8
131.78,132.48
132.52,133.45
133.48,137.35
141.28,146.98
150.25,152
152.05,152.68
152.72,155.08
160.3,166.07
171.33,172.72
172.75,176.43
180.43,183.45
183.48,185.12
188.2,194.88
197.62,200.45
200.88,203.32
208.17,213.4
217.07,219.18
219.22,220.53
220.57,221.07
221.1,221.78
227.43,229.38
229.42,230.92
235.18,240.38
243.02,243.5
245,245.7
247.23,252.18
255.88,257.02
257.05,257.88
257.92,258.4
258.43,259.07
259.1,260.58
263.75,270.1
273.05,273.93
273.97,278.25
281.65,285.17
285.25,286.67
288.78,289.33
290.37,293.35
293.4,293.9
294.18,294.75
298.83,299.37
