T1
18.017
28.083
43.383
62.017
77.567
87.15
97.867
106.68
115.2
123.4
133.58
142.85
151.32
161.97
173.23
182.07
189.87
199.02
209.55
217.9
228.4
235.92
248.63
257.53
265.17
274.52
282.97
