Stop,Start
8.2333,9.6333
17.567,19.983
30.633,31.333
34.517,35.333
41.1,41.75
42.767,43.683
45.933,47.133
48.017,48.833
52.017,52.583
55.25,56.283
56.317,57.583
64.2,66.167
66.2,67.3
71.833,72.383
73.917,74.417
76.8,78.333
85.05,85.667
88.917,90.5
91.767,92.5
98.867,99.4
99.9,100.58
107.4,108.13
111.15,113.68
116.43,117.28
120.48,121
122.02,122.7
125.73,126.37
128.2,128.68
129.2,130.13
131.73,132.6
134.7,135.57
136.52,137.27
139.37,140.33
149.63,152.3
154.4,155
159.3,160.78
161.3,162.67
170.08,170.6
172.05,172.55
176.22,178.92
181.98,182.58
183.42,183.93
187.22,187.78
192.27,192.83
195.52,198.38
199.38,199.95
206.2,207.28
211.27,212.33
221.2,221.7
223.32,224.32
226.35,227.07
227.68,228.28
229.75,231.28
233.65,234.38
236.45,237.32
237.68,238.25
239.47,241.62
242.28,243.23
244.12,244.6
250.53,252.62
254.43,255.6
257.32,257.82
260.2,261.07
267.25,268.25
268.53,269.6
271.55,273.7
275.38,275.95
278.73,279.28
280.32,281.07
281.97,284.32
285.8,287.75
290.58,291.22
293.13,293.65
295.98,301.1
