Pulse,Trial,On,Off,Include,G2_neg10_0,G2_neg10_0_mv,G3_neg10_0,G3_neg10_0_mv,G4_neg10_0,G4_neg10_0_mv,G5_neg10_0,G5_neg10_0_mv,d_G2_1_4,d_G2_1_4_mv,d_G3_1_4,d_G3_1_4_mv,d_G4_1_4,d_G4_1_4_mv,d_G5_1_4,d_G5_1_4_mv,d_h_1_4,d_h_1_4_mv,d_h_7_10,d_h_7_10_mv,d_v_1_4,d_v_1_4_mv,d_v_7_10,d_v_7_10_mv,h_neg10_0,h_neg10_0_mv,v_neg10_0,v_neg10_0_mv,x_c_1,x_c_2,x_c_3,x_c_4,y_c
86,20180131.Fly4.3,190,200,Include,0.8068457291666666,0.8068457291666666,0.9531031250000002,0.9531031250000002,1.10902125,1.10902125,0.7331857291666665,0.7331857291666665,-0.05341815711140045,-0.05341815711140045,-0.1575879921268966,-0.1575879921268966,0.13231964827016415,0.13231964827016415,-0.11951838934744025,-0.11951838934744025,-0.5920122694327725,-0.5920122694327725,-1.177370541337535,-1.177370541337535,-0.00604529366224556,-0.00604529366224556,-0.0016318271989122363,-0.0016318271989122363,1.6929881846708683,1.6929881846708683,0.012610822806372548,0.012610822806372548,0.5976195268202448,-0.7207478441338359,1.360681834860743,0.3693281195343776,1.7532785879024444
87,20180530.Fly5.4,30,40,Exclude,1.0027555834054793,1.0027555834054793,1.1405325869517875,1.1405325869517875,1.0976256859312017,1.0976256859312017,0.6877960504232112,0.6877960504232112,-0.06583668378609045,-0.045182455217728255,-0.08232019681686555,-0.07110504028084388,-0.0891410732670112,-0.11189308654986788,-0.10766041884813651,-0.08684801283610809,1.0555645769230773,1.0285724658119664,0.83127591025641,0.83127591025641,-0.007894909632555886,0.013882038223035038,0.010400057584640209,0.010400057584640209,1.64149308974359,1.64149308974359,0.020513561518357943,0.020513561518357943,-0.22714840643817025,1.1972391016389812,-0.046065938289851505,0.03442109453769209,1.7768590602738394
88,20180530.Fly5.4,70,80,Exclude,0.6539368708143593,0.6539368708143593,0.9242987451840632,0.9242987451840632,1.677732088307768,1.677732088307768,0.750003156755657,0.750003156755657,0.28981436065088734,0.28981436065088734,0.17481038032465385,0.17481038032465385,-0.5062642775274409,-0.5062642775274409,0.07737367396096284,0.07737367396096284,0.3925240002666667,0.3925240002666667,1.3713723647111116,1.3713723647111116,-0.028455558562879273,-0.028455558562879273,-0.012574539787513377,-0.012574539787513377,0.9229647464,0.9229647464,0.03878788777048476,0.03878788777048476,-0.24064123283851974,-0.41328151185345713,-0.18962535153138055,0.7227377304914386,-1.4613274517216008
89,20180530.Fly5.4,110,120,Exclude,0.8107606956820713,0.8107606956820713,0.9553023715468001,0.9553023715468001,0.945788521826099,0.945788521826099,0.7403573808894016,0.7403573808894016,-0.032146209525748086,-0.032146209525748086,0.013135111162967191,0.013135111162967191,-0.07643264048468723,-0.07643264048468723,-0.10653334991977445,-0.10653334991977445,0.40354167557777765,0.40354167557777765,0.7026138955777779,0.7026138955777779,-0.00716932758682463,-0.00716932758682463,0.020880784820881296,0.020880784820881296,0.7307260355333334,0.7307260355333334,0.028826723380831237,0.028826723380831237,-0.7745847471407364,-0.8702706261131017,-1.0295352838826797,-0.8871014415587343,-4.231803141152499
90,20180530.Fly5.4,150,160,Exclude,0.6916894717188312,0.6916894717188312,0.9781847258924847,0.9781847258924847,1.3940092397256245,1.3940092397256245,0.761068829557835,0.761068829557835,-0.0740893233819018,-0.0740893233819018,-0.0013297019177990683,-0.0013297019177990683,0.12225377138507612,0.12225377138507612,-0.1525460654215682,-0.1525460654215682,-0.25983751986666626,-0.25983751986666626,1.337634799180952,1.337634799180952,-0.007632242252131209,-0.007632242252131209,-0.0014852753484942138,-0.0014852753484942138,1.2003178198666666,1.2003178198666666,0.04850702088502145,0.04850702088502145,0.16934059565932608,0.37942173269990365,-0.1493498535972652,0.27817731664319917,0.8320422440690847
91,20180530.Fly5.4,190,200,Exclude,0.6989412137971556,0.6989412137971556,0.926707204693464,0.926707204693464,1.357954792802851,1.357954792802851,0.7753108717582284,0.7753108717582284,-0.0945825478693972,-0.0945825478693972,-0.02215317217640511,-0.02215317217640511,0.07934555849354258,0.07934555849354258,-0.0768179706569626,-0.0768179706569626,-0.8376332408291873,-0.8376332408291873,0.7490888880597013,0.7490888880597013,-0.01625350342344608,-0.01625350342344608,-0.012357219111271217,-0.012357219111271217,1.3652005119402983,1.3652005119402983,0.06003576741515402,0.06003576741515402,0.7477736879306772,1.042142104279656,-0.21589398025970521,1.627178219600992,0.2707784541314986
92,20180124.Fly4.2,30,40,Include,0.8568835999999999,0.8774823809523811,1.1363826000000001,1.1311090476190475,0.8065690999999999,0.8147130952380953,0.9242425999999999,0.9627888095238093,-0.20416378607316096,-0.20416378607316096,-0.10696039637823877,-0.10696039637823877,0.3338253763172102,0.3338253763172102,0.06173025711359066,0.06173025711359066,0.11726214942857216,0.11726214942857216,0.7951030206190475,0.7951030206190475,0.007670063872007943,0.007670063872007943,0.011710317343119052,0.011710317343119052,1.1216817603333333,1.1906728524376415,0.013747071731166662,0.017308015626672328,-0.43308643129799923,1.7276815831929693,0.5079200410989301,-0.4013533726596925,3.2283905096289027
93,20180124.Fly4.2,70,80,Exclude,0.5882647916666667,0.5882647916666667,1.1599543749999999,1.1599543749999999,1.6621883333333336,1.6621883333333336,1.0429485416666668,1.0429485416666668,-0.1718020973406605,-0.1718020973406605,-0.32608901104407645,-0.32608901104407645,-0.19159982873982404,-0.19159982873982404,-0.10640046358950689,-0.10640046358950689,0.030329025520634767,0.030329025520634767,1.958540720904762,1.958540720904762,-0.01659179998619048,-0.01659179998619048,0.018091017299523806,0.018091017299523806,0.5305001124285715,0.5305001124285715,0.023757003533809527,0.023757003533809527,0.9523146457980964,1.7278798390634058,-0.5276517612375942,0.06441400304114696,1.7367550004539245
94,20180124.Fly4.2,110,120,Exclude,0.6412266,0.6412266,1.047256,1.047256,1.5890269000000004,1.5890269000000004,0.7946500999999999,0.7946500999999999,0.13739563101925822,0.13739563101925822,0.13044215868262715,0.13044215868262715,-0.060070873144648256,-0.060070873144648256,0.07086796230609352,0.07086796230609352,-0.020949657606837313,-0.020949657606837313,0.07143311517094086,0.07143311517094086,-0.0019104706819291911,-0.0019104706819291911,-0.0012873902136752158,-0.0012873902136752158,0.8107118153846152,0.8107118153846152,0.03623286076923077,0.03623286076923077,0.8679699738550998,-1.015602583051867,1.1079898378398594,0.5075592327160283,0.47338703250365244
95,20180124.Fly4.2,150,160,Exclude,0.6483125531914895,0.6483125531914895,1.0550271276595744,1.0550271276595744,1.4846548936170212,1.4846548936170212,0.8493900000000002,0.8493900000000002,-0.041598587582581,-0.041598587582581,0.09010182757224648,0.09010182757224648,0.03834007033848033,0.03834007033848033,0.27065187958417175,0.27065187958417175,-0.9807779106782104,-0.9807779106782104,0.007734405194806282,0.007734405194806282,-0.035321356609668134,-0.035321356609668134,-0.0315562673795094,-0.0315562673795094,1.730253385281385,1.730253385281385,0.06950322612554115,0.06950322612554115,1.028211159449176,-0.29752107831202446,-0.1008283163070685,0.1899530039397883,-0.7460753250567375
