TIME,G2R_RED,G3R_RED,G4R_RED,G5R_RED,G2L_RED,G3L_RED,G4L_RED,G5L_RED,G2R_GREEN,G3R_GREEN,G4R_GREEN,G5R_GREEN,G2L_GREEN,G3L_GREEN,G4L_GREEN,G5L_GREEN,V_LAT,V_FWD,V_ANG,HEADING,AIR,W_AIR,ODOR_BINARY,ODOR_PID
1.7000000000000002,1595.9695,1633.3848,1200.0697,904.0734,1187.2422,1770.2626,1761.4625,1090.7859,4175.3682,4502.8481,3150.3794,2159.6331,2282.8525,4193.7603,3422.4561,1614.1918,0.0022628235395370003,0.004206404982993117,0.000610376867055233,-9.289686801000983,-6.812023864631215,-42.079657496679495,0.0,
1.8,1632.8114,1561.5865,1184.0878,903.4545,1165.0961,1788.4663,1657.3914,1095.9272,4230.6021,4452.2539,3157.2783,2147.135,2321.0801,4171.9629,3472.4158,1647.463,-8.114516888987131e-05,0.0001775732804185943,-0.0016664155386721985,-8.977550988765813,-9.477797704099089,-7.218098917025772,0.0,
1.9000000000000001,1581.7834,1611.7798,1190.9105,943.2852,1187.6789999999999,1782.7433,1710.2657,1073.8286,4213.8843,4395.4829,3166.0249,2183.8779,2277.0811,4124.708,3398.3853,1688.4431,-0.0037059175417080334,-0.0029242401669262665,-0.003338283124813145,-7.6525382921804805,-8.255643648036369,9.67187837229517,0.0,
2.0,1667.5068,1618.0278,1151.7019,931.0881,1197.7107,1821.4565,1685.207,1026.1936,4197.2998,4417.9951,3066.6118,2192.1101,2343.7334,4026.0051,3267.5762,1693.6615,0.004188768354082456,-0.0017008783403900495,0.0027443371908586166,-8.069239510019827,-7.543422029640055,0.6401926384370428,0.0,
2.1,1641.9852,1581.8236,1223.9036,885.9594,1184.1891,1810.2097,1720.5233,1038.6091,4243.7056,4255.3433,3079.5991,2125.4343,2297.7009,3997.002,3210.6533,1617.7234,0.0007009534629971158,-0.0039167567624291836,0.003651706067499661,-8.578432604462904,-8.12760512034896,-4.771335271492485,0.0,
2.2,1607.7397,1593.2295,1180.7682,906.0853,1175.5868,1794.0458,1721.7968,1073.2736,4147.0342,4113.6675,3054.1941,2119.3896,2243.5542,3835.2102,3225.1023,1637.246,-0.00190149188586421,-0.0017280572145057607,-0.0011144642119463404,-9.252858691316902,-8.497689083938553,-11.87075007381252,0.0,
2.3000000000000003,1655.1118,1605.5764,1233.8943,926.9283,1157.8024,1744.2462,1772.6979,1062.3915,4293.7979,4109.6538,2956.5886,2052.4495,2252.6931,3750.1679999999997,3115.8945,1634.0427,0.03662716312769283,-0.02132471762510932,0.07241944079864045,-19.8309115012826,-10.501755135111466,-109.67628272491585,0.0,
2.4000000000000004,1579.2273,1610.8531,1158.0354,887.0948,1164.7776,1794.418,1696.2527,1087.1882,4457.6616,4006.5046,2993.7432,2050.3242,2340.5298,3675.2058,3106.4016,1594.2231,0.04417218323265901,0.010757658973609883,0.12739078435669335,-60.840022871050024,-30.432945628921743,-301.15915004634377,0.0,
2.5,1624.3676,1617.3375,1178.5979,894.4873,1184.5928,1745.9191,1657.6902,1037.5586,4663.9043,3943.0718,2905.4287,2058.9604,2459.3801,3634.8542,3054.8684,1559.7499,0.041375884703856225,0.015587408890347668,0.10715812366864601,-100.11595845124641,-70.73358514438014,-297.5682103637069,0.0,
2.6,1643.7921,1623.7882,1151.1998,907.7233,1160.3579,1747.9817,1693.5392,1014.1653,4949.2065,4010.2051,2916.0552,2007.5065,2682.8923,3613.0339,2936.6995,1492.0608,0.008377516885199767,0.01891158518975838,0.06515611729971689,-131.88912618089685,-89.94658770166305,-95.71800060198518,0.0,
