T1,T2
0,5.5667
6.0667,9.75
10.583,11.467
12.3,15.117
18.083,25.317
26.05,27.617
28.25,30.883
34.667,51.733
52.25,52.867
53.467,55.45
56.433,58.317
62.633,69.617
70.233,75.35
75.867,76.683
78.333,78.367
80.75,90.667
91.183,97.383
98.017,101.57
102.28,103.18
103.73,104.77
108.58,114.2
114.7,117.38
118.12,119.53
123.6,130
130.55,136.9
141.02,148.68
149.22,149.55
150.15,152.15
155.15,155.18
155.68,159.5
160.23,161.03
165.05,169.48
170.23,171.98
172.6,174.95
178.57,182.95
187.22,191.97
195.98,206.75
211.07,213.4
213.92,217.18
217.8,219.27
223.22,228.07
230.57,230.6
231.68,231.75
232.23,236.8
237.33,238.83
239.45,241.02
241.78,243.9
244.47,248.37
248.9,250.23
252.42,252.93
254.05,260.8
261.42,264.45
269.03,272.38
273,275.4
276.25,276.33
279.03,279.07
280.52,283.92
284.57,294.9
