T1,T2
3.0999,3.3332
9.2163,9.5996
15.683,15.933
19.066,19.349
23.616,23.982
28.299,28.699
30.265,30.615
33.132,33.498
38.882,39.198
43.781,44.065
46.615,46.998
55.131,55.581
57.514,57.764
62.047,62.464
64.08,64.464
69.697,70.014
72.947,73.28
87.196,87.496
127.19,127.44
128.63,129.04
137.36,137.73
140.54,140.93
151.01,151.31
154.94,155.33
161.51,161.94
170.68,171.08
175.06,175.43
179.33,179.64
189.59,190.04
196.87,197.27
204.02,204.32
209.39,209.82
212.06,212.54
217.76,218.17
221.01,221.47
227.57,227.94
248.41,248.89
267.1,267.54
292.55,292.99
