Stop,Start
8.0831,9.683
14.533,16.083
37.049,37.866
40.399,41.365
51.965,52.948
55.748,56.365
60.432,60.965
62.681,63.781
75.064,75.914
77.531,78.414
83.631,86.281
94.764,95.314
101.01,103.25
115.75,116.35
121.7,122.25
123.05,123.86
126.76,127.26
133.36,134
135.65,136.9
144.55,145.03
151.51,152.21
160.08,160.71
163.18,163.76
168.9,169.46
172.96,173.48
174.96,175.98
179.33,180.69
188.14,189.16
190.59,191.09
195.78,196.71
202.79,205.39
208.98,209.49
212.28,212.96
217.33,217.83
224.36,225.29
231.66,232.23
235.29,237.26
243.64,244.28
248.49,249.88
259.13,260.26
265.78,266.43
267.49,269.03
270.46,275.01
282.16,282.73
283.36,284.33
289.99,290.69
296.49,300.62
