Start,Stop
0,5.75
6.3167,8.5833
18.633,21.417
26.267,27.017
27.9,33.35
33.85,35.583
36.2,38.517
39.117,39.417
40.867,43.2
44.3,48.567
49.533,50
54.5,59.967
62.517,69.633
70.933,74.467
75.383,75.833
77.233,77.6
84.683,94.383
99.183,104.42
106.38,116.73
118.05,122.43
123,126.92
133.83,142.08
145.2,154.37
155.17,156.22
159.88,169.15
170.17,170.2
170.73,170.77
174.2,185.47
186.12,187.15
189.7,202.87
203.9,207.23
207.92,213.8
214.73,219.92
220.6,226.07
226.7,228.15
232.12,237.17
238.82,246.88
251.83,259.2
259.98,261.08
264.07,270.93
271.5,273.7
277.73,277.77
278.7,295.38
295.9,297.02
