TIME,G2R_RED,G3R_RED,G4R_RED,G5R_RED,G2L_RED,G3L_RED,G4L_RED,G5L_RED,G2R_GREEN,G3R_GREEN,G4R_GREEN,G5R_GREEN,G2L_GREEN,G3L_GREEN,G4L_GREEN,G5L_GREEN,V_LAT,V_FWD,V_ANG,HEADING,AIR,W_AIR,ODOR_BINARY,ODOR_PID
0.0,942.8305,1783.0408,1947.5635,1419.5817,1519.406,2081.5837,1809.8217,1063.0396,644.9796,5406.146,7367.478,2646.3191,1299.3835,6852.3979,7825.1855,2855.8518,0.0044421583464685725,0.01545432683966575,0.0514831844891355,-21.525041199964846,-10.783542794566529,-123.67249574437153,0.0,
0.1,951.1501,1783.1085,1922.7577,1474.0544,1522.9232,2076.9409,1832.2454,1106.8688,758.9948,5600.4448,7341.2822,2691.865,1574.2487,7093.0508,7854.6685,3046.9604,-0.017412769847895165,-0.002535313464089219,-0.03365518487279883,-22.710282386703938,-23.150792369003682,-26.79929404912457,0.0,
0.2,978.4077,1798.4645,2035.0443,1472.6591,1570.2142,2109.9846,1890.0601,1152.9352,858.8849,5836.4302,7288.3735,2845.0054,1898.9177,7239.4458,7826.5908,3164.8943,-0.0292724035207333,0.002119555879967024,-0.10110962816877403,3.071231573739823,-16.143401604391443,195.0547115901183,0.0,
0.30000000000000004,973.8556,1821.7633,2075.6897,1481.0044,1614.5948,2163.8103,1831.6002,1146.4175,954.2489999999999,5969.1821,7261.438,2957.3093,2147.8672,7295.9580000000005,7711.2139,3081.4724,-0.006705809648618231,-0.0018867793047804167,-0.020041740917087016,27.026400441640334,15.860149949019984,212.83920462081682,0.0,
0.4,952.8414,1875.7559,2053.3352,1478.1166,1595.0416,2136.9429,1924.1644,1131.2778,1023.518,5978.4414,7009.0419999999995,2901.2690000000002,2375.7522,7322.1519,7574.5444,3058.6135,0.0023192813402317498,-0.0015281032232988996,0.020825729742977233,22.521186482442232,26.42443931977192,18.674916216396728,0.0,
0.5,957.4224,1814.493,2034.0079,1468.5305,1624.3232,2178.7163,1858.6553,1166.5599,1071.8224,6004.5493,6798.4995,2870.1743,2493.9639,7292.4634,7435.875,3097.9705,0.00419469175845765,-0.00041241549577964993,0.06547213583334317,7.248609959233335,19.59513319229933,-128.22912385190088,0.0,
0.6000000000000001,964.3641,1838.0726,2044.3334,1507.7091,1606.8429999999998,2188.4509,1837.7407,1138.2991,1118.1326,5936.4644,6653.1377,2839.78,2610.874,7236.5308,7245.6104,3058.2285,0.001248045242725816,0.0062668053359266175,-0.017297938828423665,-3.1106781427986903,0.7786145493917331,-92.29005382691437,0.0,
0.7000000000000001,990.08,1907.9836,2029.6357,1531.8922,1645.9664,2103.0562,1803.9855,1194.1298,1135.8503,5836.9175,6363.6865,2750.1973,2645.1611,7151.4429,7102.8872,2982.1396,-0.0007766353999506336,0.0002740431802017174,-0.040547521351653334,12.291418542914414,1.1371224269164486,72.18742032918145,0.0,
0.8,971.2339,1885.3053,2036.4341,1496.293,1598.4794,2087.4561,1802.8735,1167.3385,1116.1255,5724.0835,6156.7378,2859.8965,2604.9517,6958.7593,6919.6182,2955.6799,0.00011447166347095647,-0.0007291450178220141,0.0094454265962949,15.040486145211787,15.21609861522802,54.69116014848255,0.0,
0.9,1004.4919,1822.7689,2056.7224,1596.4194,1640.8074,2051.0571,1773.0753,1160.5599,1153.1117,5589.6001,5928.0249,2935.1973,2637.0789,6748.5991,6583.6802,3081.5613,0.0005715094844328999,0.00086149882105235,0.0059258584465711125,9.33010526288956,12.075354456612956,-28.729740870131202,0.0,
1.0,968.0952,1901.027,2056.5562,1499.8486,1609.2189,2091.6274,1773.3877,1143.1255,1122.6132,5335.4194,5727.2861,3128.8921,2606.1714,6632.1328,6416.9761,3022.5713,-0.0020595691404103086,-0.00041895215372347644,-0.014276870757699747,12.337081850075833,9.470150441201781,6.287919476155109,0.0,
1.1,968.7974,1840.9037,1991.9969,1519.3104,1576.9258,2084.8674,1774.6034,1108.213,1179.1174,5260.0537,5386.5386,3147.7114,2702.2241,6532.4204,6129.9878,2898.3118,-0.0008553242629076351,-0.0006798737926954783,0.0007035322074191002,14.529046482941993,13.332938351843978,20.883726981707138,0.0,
