Stop,Start
2.1833,3.7167
6.8833,7.55
7.6667,9.0833
12.933,13.9
13.933,15.383
20.867,22.35
27.7,28.367
29.633,30.4
30.433,34.117
39.233,39.933
44.75,45.333
47.55,48.35
50.333,51.017
54.15,54.95
56.933,58
60.583,61.25
61.283,63.017
70.15,70.767
76.083,76.617
77.017,77.517
77.817,80.3
85.8,90.833
102.02,102.52
105.12,106.15
107.72,108.43
111.8,112.4
114,117.05
123.37,126.38
126.73,127.27
140.37,141.73
141.77,143.13
147.85,148.53
151.82,152.75
157.23,158.38
162.3,165.68
167.2,167.7
172.75,177.52
188.42,188.95
190.2,192.78
201.9,202.62
205.27,205.88
209.05,210.03
211.17,214.17
218.75,219.38
222.32,222.85
223.72,227.52
235.22,235.78
240.18,244.58
250.2,251.47
259.03,259.52
263.78,264.72
269.12,271.93
286.08,289.18
296.9,297.42
298.6,300.3
