T1,T2
5,5.2167
6.4833,6.7667
8.5167,8.75
14.883,15.317
19.167,19.433
20.983,21.233
22.633,23
34.7,35.083
40.233,40.55
44.6,44.817
51.1,51.333
53.367,53.7
57.033,57.333
59.15,59.333
65.567,65.967
67.25,67.667
69.267,69.5
73.917,74.35
76.367,76.783
81.783,82.1
82.983,83.383
95.283,95.667
100.72,101.07
108.9,109.17
112.78,113.12
115.32,115.65
120.45,120.85
139.03,139.28
151.63,152.12
160.38,160.77
169.17,169.45
172.93,173.22
180.02,180.25
183.07,183.3
197.2,197.4
203.43,203.73
207.37,207.85
214.6,214.93
216.08,216.43
226.95,227.43
229.77,230.23
237.85,238.27
245.55,245.78
251.43,251.85
255.63,255.92
264.3,264.6
266.77,267.07
269.05,269.43
275.4,275.77
