Stop,Start
0.86667,1.3833
2.45,6.15
8.2,8.8
11.933,12.417
19.983,20.767
22.917,26.05
32.5,33.117
35.067,36.517
36.55,37.7
43.683,44.383
44.45,45.15
45.183,45.667
51.95,52.45
52.483,53.433
53.467,55.65
62.55,63.133
66.683,67.967
68,68.683
73.6,74.233
76.583,78.983
84.833,85.517
86.217,86.8
94.733,95.367
95.667,97.05
101.58,102.35
104.1,104.87
108.52,109.1
114.23,114.93
117.88,118.63
118.67,121.1
124.52,127.97
133.72,134.47
135.53,136.25
139.07,140.03
141.77,142.68
147.87,149.25
149.77,150.5
153.82,154.42
155.03,155.92
157.3,157.83
157.87,159.63
159.83,160.73
165.37,166.05
169.77,171.02
171.12,172.67
172.7,173.25
174.58,175.3
175.38,176.23
183.3,184.22
185.55,186.05
191.28,194.43
201.03,201.77
204.95,205.98
208.68,211.67
216.78,219.17
221.13,221.75
225.12,225.98
229.87,230.85
230.95,231.72
231.78,233.92
233.95,235.23
244.12,244.65
245.37,245.93
250.33,253.2
261.02,261.67
261.7,262.28
264.75,265.27
265.3,267.37
271.33,272.1
273.72,275.43
275.47,276.27
279.48,280.45
280.98,282.82
286.72,287.2
290.37,291.38
295.45,298.88
