T1,T2
4.6499,5.8499
6.4166,12.65
13.416,22.866
23.55,31.2
32.133,32.7
33.583,46.316
47.616,50.966
51.683,52.166
52.816,54.249
55.149,55.983
57.016,57.866
59.232,60.199
62.216,63.766
64.282,66.799
70.666,74.932
75.549,75.582
78.066,78.532
80.349,81.132
84.315,85.099
86.165,89.499
90.049,97.632
98.349,127.68
128.26,131.81
132.6,162.03
162.51,168.03
168.65,180.83
181.53,187.8
188.38,199.55
200.18,210.23
210.96,218.51
219.23,236.11
236.68,239.53
240.86,241.65
242.48,279.9
280.41,285.61
286.11,298.16
