T1,T2
6.8166,7.1666
9.5332,9.8499
11.05,11.383
20.2,20.416
23.716,24.066
36.433,36.716
43.083,43.299
44.633,45.066
74.049,74.249
94.299,94.699
95.699,95.882
98.615,99.082
106.85,107.27
109.78,110.18
117.96,118.31
121.36,121.8
125.83,126.21
134.35,134.83
141.6,142.05
142.61,142.98
145.41,145.83
149.13,149.61
164.95,165.26
168.91,169.35
173.3,173.56
174.23,174.55
175.23,175.51
176.06,176.55
182.8,183.23
188.6,189.01
200.46,200.85
202.38,202.68
207.11,207.45
211.95,212.33
219.43,219.76
220.63,221.06
231.6,231.9
242.66,242.98
247.75,248
251.71,252.03
253.81,254.23
255.56,255.96
258.2,258.43
259.8,260
265.36,265.81
266.71,267.18
269.5,269.78
273.75,274.01
280.68,281.01
287.3,287.5
288,288.4
290.26,290.51
291.56,292.03
296.18,296.58
