Time,xpos,ypos,ForVel,AngVel,LatVel,Motion,AbsHeading,ForVel_Conv,AngVel_Conv,LatVel_Conv,Motion_Conv,G2_Red_R,G3_Red_R,G4_Red_R,G5_Red_R,G2_Red_L,G3_Red_L,G4_Red_L,G5_Red_L,G2_Green_R,G3_Green_R,G4_Green,G5_Green_R,G2_Green_L,G3_Green_L,G4_Green_L,G5_Green_L,G2_R,G3_R,G4_R,G5_R,G2_L,G3_L,G4_L,G5_L,G2_avg,G3_avg,G4_avg,G5_avg
0.0,-0.0379826772241998,0.016508182759199002,0.0140895517292558,-0.00343475223794884,0.00758237988750605,0.0336410242581216,0.36257,0.00145050029780877,-0.000924175634333683,-0.00047627222380546203,0.00401445612847478,3164.5251,3468.9797,3737.6794,3941.4041,2517.0295,2412.3359,3548.5557,3610.0251,2768.1958,4495.7832,4269.8662,2788.0662,1971.1722,3145.6284,4300.1035,2686.448,0.8747586802202959,1.2959958226333799,1.14238428261129,0.7073789262055109,0.783134325600872,1.30397611709049,1.21178977125821,0.7441632469536009,0.828946502910584,1.29998596986194,1.17708702693475,0.7257710865795559
0.1,-0.14720350714966599,0.0889395024063321,0.03426673444276,0.0222347552621968,0.00698861656088588,0.0565821257515749,0.4473383333333329,0.0154767157109618,0.00218116542787494,0.000995683597016196,0.0337378663101699,2527.5515,2975.1426,3092.4846,3138.4294,2029.8789,1963.7411,2938.6963,2967.0352,2119.6111,3775.3416,3385.677,2102.7827,1570.4329,2636.0608,3315.4915,1927.9637,0.838602536882038,1.268961561708,1.09480803881772,0.670011152712245,0.7736584187362109,1.34236677126124,1.1282184892668201,0.649794683932297,0.8061304778091251,1.30566416648462,1.11151326404227,0.659902918322271
0.2,-0.363377109939999,0.273762547987999,0.0512752990541141,0.0193593979847049,0.0027546860720774,0.0608453207122697,0.567872,0.0687034082704546,0.0278877035634311,0.0110759128290227,0.12086204641592299,2403.1567,2739.6958,2976.7576,2955.0493,1915.5995,1892.1571,2840.5886,2782.2542,2141.3889,3586.8394,3191.3759999999997,1992.7759,1479.1732,2459.415,3040.0562,1754.4406,0.8910733536435641,1.30921082552304,1.07209804385819,0.674362996245105,0.7721724713333871,1.29979429297916,1.07022051697314,0.630582424855357,0.831622912488475,1.3045025592511001,1.07115928041566,0.6524727105502309
0.3,-0.6390751057497779,0.43790519845822207,0.0522208605787213,0.0066086350848108604,-0.00875530004141943,0.0587595691662638,0.66347,0.161136296631999,0.0653081095466667,0.0203950636068016,0.24340479718084695,2388.5381,2845.3286,2949.9028,2831.7979,1889.3545,1933.4841,2749.5009999999997,2768.1614,2082.9094,3531.7703,3491.7266,1991.017,1482.7258,2436.5686,2959.8997,1729.6107,0.872043615297575,1.2412521703117199,1.1836751366858602,0.703092900803408,0.784779034320981,1.26019582990106,1.07652250353791,0.6248229239812391,0.8284113248092779,1.2507240001063897,1.1300988201118898,0.6639579123923239
0.4,-0.965064545138333,0.566060623114667,0.0585172036527362,-0.0196329319196258,-0.0129124162294216,0.0683576915267649,0.576706,0.27859958913492,0.0880177684723785,0.0129335958934217,0.384679805201089,2329.2275,2743.1765,2923.5342,2966.8879,1830.7686,2003.6185,2734.3899,2706.448,2070.3374,3400.7617,3771.8101,2018.2699,1454.3033,2377.8528,3106.7942,1783.6407,0.8888515183682141,1.2397166934027,1.2901542591839699,0.680264967206884,0.7943676224291809,1.18677921969676,1.13619283043724,0.6590337963264029,0.841609570398698,1.21324795654973,1.2131735448106,0.6696493817666429
0.5,-1.30994104589856,0.6609439135787769,0.0538934504740688,-0.0228766682529095,-0.0006250290951285,0.0707662367816991,0.405002,0.41009698458857,0.0723199107935721,-0.0108768202338761,0.540911165291141,2362.2217,2852.4426,2950.2759,2878.4159999999997,1933.5061,1903.9274,2789.1177,2594.9849,2089.9299,3424.2405,4120.0298,2226.2834,1505.1136,2425.5796,3148.6499,1766.6909,0.884730633030761,1.20045903815909,1.39648966389889,0.7734404616983779,0.778437471699727,1.27398744300859,1.12890535239872,0.6808097033628211,0.831584052365244,1.2372232405838401,1.2626975081487999,0.7271250825305999
0.6,-1.634122741533,0.7527224390613321,0.0568761653349281,-0.0104294233614668,0.0018971527601526102,0.0681712519355658,0.27972666666666696,0.543090795551242,0.0277260117494972,-0.0346600660553902,0.7057932253575891,2382.4346,2845.8818,2891.0662,2952.3684,1923.5596,1853.8983,2816.6973,2805.7747,2115.5449,3294.3596,4291.0312,2104.8047,1477.8733,2310.4114,3189.6055,1874.7985,0.887976064484624,1.15758834397128,1.4842383062691498,0.7129207520308101,0.7683012785255,1.2462449531347,1.13239200392602,0.6681928167646529,0.8281386715050619,1.20191664855299,1.30831515509759,0.690556784397732
0.7,-2.00315532451078,0.7936458283058879,0.0687337009889645,-0.006525482395211999,-0.0164514580578779,0.0736133001583659,0.24213166666666697,0.673550564211653,-0.0173181522416463,-0.0521159302512993,0.8643157015119979,2336.3767,2842.385,2941.5979,2990.6858,1910.2981,1872.6885,2793.4124,2645.3992,2086.1965,3250.3074,4365.0264,2099.4246,1458.4957,2235.5459,3326.6565,1746.6121,0.8929195792784609,1.14351412634108,1.48389635442696,0.701987684563855,0.7634911535534692,1.19376281746804,1.19089343914991,0.660245190971556,0.828205366415965,1.16863847190456,1.33739489678843,0.681116437767705
0.8,-2.40479791461056,0.8158497775602209,0.0709819232589703,-0.0141693935059846,-0.0101085556824513,0.0786343999881697,0.16539500000000001,0.805998269469443,-0.0545834761235941,-0.0752584264068326,1.01401260123675,2362.4392,2843.6001,2930.8945,2922.9609,1890.7484,1904.4406,2832.9331,2651.1541,2154.3362,3194.3181,4372.4009,2171.8999,1518.6503,2298.6584,3488.7942,1833.5406,0.911911807084813,1.1233359078866298,1.4918315551788,0.743047879976773,0.8032006267994202,1.20699926267062,1.23151309150223,0.6916009144847521,0.857556216942116,1.16516758527862,1.36167232334052,0.7173243972307621
0.9,-2.78247720515822,0.905985705549333,0.0597916705792966,0.00601917043277319,0.0090953083194241,0.0694845155170637,0.143404166666667,0.937056583179064,-0.0877552970006416,-0.0913490964345144,1.1572365613888997,2343.6404,2755.5840000000003,2932.1968,2955.8896,1896.8362,1885.3451,2805.8792,2726.4607,2189.876,3343.7021,4357.4209,2274.6536,1539.6714,2335.3816,3488.761,1838.7059,0.9343907879382859,1.21342775251997,1.48606017849825,0.7695326645487709,0.811704985385665,1.2387024529355402,1.2433753384678898,0.6743929593410238,0.873047886661976,1.22606510272776,1.36471775848307,0.721962811944897
