T1,T2
3.1166,3.6333
15.517,16.083
22.116,22.6
29.633,30.116
39.3,40.2
46.833,47.366
55.666,56.166
59.366,59.983
68.416,68.949
85.599,86.216
88.666,89.416
91.849,92.366
95.316,95.899
97.949,98.683
101.25,101.98
104.47,105.65
111.73,112.43
119.1,119.68
122.65,123.27
125.6,126.45
129.48,130.18
132.08,132.67
165.08,165.62
169.9,170.42
179.38,179.87
182.88,183.6
189.07,190.35
192.97,193.88
196.9,197.58
199.95,200.82
203.32,204.02
208.88,209.48
213.97,214.63
217.31,218.13
223.26,224.18
227.7,228.28
231.45,232.13
239.13,239.91
243.65,244.28
246.78,247.4
249.3,249.9
252.43,252.96
257.68,258.33
262.51,263.25
266.05,266.85
269.25,269.88
277.01,277.55
280.08,280.78
295.6,296.38
299.6,300.26
302.63,303.13
