T1,T2
1.1333,1.4833
20.417,20.767
22.25,22.567
27.2,27.533
29,29.233
30.967,31.45
33.9,34.283
41.817,42.117
43.867,44.283
47.133,47.5
51.2,51.55
55.567,55.833
58.433,58.9
63.167,63.517
73.6,73.833
75.45,75.75
76.967,77.317
78.2,78.483
87.783,88.1
104.12,104.52
112.95,113.2
119.68,120.05
122.23,122.65
129.52,129.72
132.2,132.58
146.12,146.37
147.57,148.02
149.12,149.55
151.8,152.17
153.78,154.07
159.67,159.9
176.3,176.7
181.6,181.88
185.77,186.02
187.08,187.3
189.45,189.68
202.68,203.03
207.23,207.63
209.57,209.88
211.38,211.58
215.18,215.45
216.82,217
218.6,218.98
221.3,221.45
236.48,236.97
240.98,241.37
261.15,261.47
262.68,262.9
279.52,279.92
