T1,T2
6.0667,10.283
14.85,15.567
15.817,16.4
16.517,18.1
18.533,19.35
19.633,20.217
20.25,20.817
21.133,22.567
22.767,24.017
25.117,25.717
26.033,26.767
27.433,28.217
28.783,29.917
32.967,34
35.083,36.567
37.567,39.133
40,40.567
40.767,44.983
45.667,46.483
57.683,58.233
70.4,71.083
74.15,76.017
84.967,85.9
97.317,98.067
104.05,104.78
119.95,120.7
122.55,123.05
126.75,127.5
127.53,130.6
136.75,137.45
149.28,149.95
156.57,160.85
186.35,187.48
202.63,206.72
225.77,226.73
235.95,236.73
240.78,241.33
255.4,256.25
258.82,260.03
274.27,278.02
295.92,297.83
297.87,299.08
