T1,T2
1.9333,5.3333
5.3667,6.2333
11.933,12.717
15.117,17.9
17.933,20.5
24.167,24.783
24.817,25.667
26.233,31.933
36.15,36.933
37.1,41.917
51.267,55.883
61.383,61.95
62.417,63.167
64.933,67.05
67.25,70.217
76.533,77.167
78.4,79.317
83.783,89.067
92.817,93.817
95.85,101.18
101.25,101.85
107.95,109.42
109.95,111.55
111.58,115.2
115.43,115.98
122.48,123.22
124.2,125.22
125.25,130.05
130.08,130.7
135.42,136.43
136.93,137.65
139.28,141.38
141.6,143.68
147.97,149.68
149.98,150.5
150.53,152.55
158.07,159
159.68,161.65
162.62,166.48
167.02,167.6
167.9,168.48
168.52,174.07
178.67,179.27
179.57,180.23
183.75,184.28
184.4,185.45
186.18,187.47
187.5,191.5
193.55,194.22
196.3,199.25
206.8,207.37
207.4,209.35
209.38,213.37
213.4,215.33
218.27,219.4
219.43,222.6
228.3,228.95
232.22,233.02
234.25,239.85
246.35,247.12
248.75,251.27
251.3,253.97
262.67,263.28
264.82,269.15
269.18,269.68
269.93,270.7
270.75,272.28
279.52,280.42
286.25,289.35
289.85,292.87
