PREDICTORS,TRIAL_0,TRIAL_1,TRIAL_2,TRIAL_3,TRIAL_4,TRIAL_5,TRIAL_6,TRIAL_7,TRIAL_8,TRIAL_9,TRIAL_10,TRIAL_11,TRIAL_12,TRIAL_13,TRIAL_14,TRIAL_15,TRIAL_16,TRIAL_17,TRIAL_18,TRIAL_19,TRIAL_20,TRIAL_21,TRIAL_22,TRIAL_23,TRIAL_24,TRIAL_25,TRIAL_26,TRIAL_27,TRIAL_28,TRIAL_29,TRIAL_30,TRIAL_31,TRIAL_32,TRIAL_33,TRIAL_34,TRIAL_35,TRIAL_36,TRIAL_37,TRIAL_38,TRIAL_39,TRIAL_40,TRIAL_41,TRIAL_42,TRIAL_43,TRIAL_44,TRIAL_45,TRIAL_46,TRIAL_47,TRIAL_48,TRIAL_49
ForVel,0.18338385886438854,0.2313893991370921,0.1755728626555726,0.34214764512884704,0.20699902308367824,0.3545027941419979,0.26951478278469065,0.2691190840118123,0.3485136446746755,0.2467019778249755,0.2857717000977795,0.23160173312818266,0.21642414754927797,0.1251576097213104,0.2725669188365615,0.31178743624605154,0.2375189519019485,0.23341424527661522,0.3320594712845313,0.2452733063796998,0.27649862502971456,0.19612523758366085,0.27721181190476407,0.2275000330291134,0.24344325758232066,0.3805039895646121,0.2708726341693739,0.27666532348986284,0.31979830028648426,0.2880541059660946,0.34872466103180827,0.2855558547486112,0.23344072914124514,0.23287879237482523,0.19271252239192557,0.26834016117962456,0.235694650944387,0.31805169149838586,0.2746919727819144,0.2660857687143017,0.2566372181685721,0.25724091271130844,0.15384751310306044,0.21468064927893993,0.21745987832045707,0.28031086724760257,0.19742134368953257,0.1721653724507274,0.27845365092430663,0.1552682300592314
AbsAngVel,0.28359768873782853,0.3611872953920295,0.30061346960185664,0.41651257892879134,0.3399710113730002,0.40388327843693195,0.3946845509920324,0.4019953294308992,0.3527015155373886,0.35052186090802245,0.35766041300357265,0.3147420724647806,0.35325234198476446,0.2888470093902601,0.34009070979725065,0.37437637486743547,0.3199312971047602,0.34796837408018644,0.40184025429069425,0.3525922774883536,0.33403032603433613,0.3451730580866884,0.36916456388272,0.3204825290404273,0.31102406924927584,0.42897063872393376,0.31821647266653963,0.34618624901731965,0.3780137750279472,0.36896839642477525,0.3877834055835607,0.4196095411012495,0.3501969828579871,0.34070475532179395,0.3128881936358261,0.3886464115087152,0.3440101745325944,0.3893339909538275,0.3661222285404827,0.3192306288508103,0.318522167853023,0.35853988896715855,0.2532260427974924,0.34677316858618956,0.3276379662676907,0.3841999244329466,0.2685158610644549,0.314032442619646,0.3730205642189058,0.2917511729915623
Motion,0.32446943036114373,0.39525325079159784,0.3349057291264868,0.48936430802083475,0.3770006617778903,0.4895362346817118,0.41594370885392823,0.430581371567162,0.4622028389960364,0.3736395593312278,0.4224607960889625,0.3681288111480797,0.3510589947619034,0.2884152977363281,0.3932249586679998,0.4371916502766019,0.3651603895322738,0.37413305226325166,0.46708499953733007,0.3990105467048043,0.38183469151622995,0.37051458473881677,0.419525145078668,0.36753160430286247,0.3468416009152434,0.5041635408480105,0.3836227936667794,0.4292969943622973,0.453163140503563,0.42297564949425553,0.4527681630826682,0.460940477071325,0.3787662727750457,0.3777707773249792,0.3528347772169751,0.4142212706164058,0.37688846201749215,0.464369439354722,0.4046015689380711,0.3935976752955583,0.36715570235341566,0.3964773820522222,0.2779854068866684,0.37313706338132385,0.3811254982001635,0.4312440889466792,0.32579081124938436,0.3226283209641923,0.40557886819945865,0.3065221775829825
ALL,0.35869620686751724,0.4240891326659955,0.35907172420240097,0.5060123302954715,0.4089886576994351,0.4958540785642853,0.4519848008326538,0.46086220767811237,0.4613811650138867,0.4120703474772399,0.43868324758919686,0.3989768207477949,0.3978010157116173,0.333294038710717,0.4146291782865742,0.4569069861767613,0.37963358000440023,0.41807284392703126,0.47711922278607444,0.4227016713830869,0.40371766516630925,0.40587269025993405,0.444043701803324,0.3890472524056624,0.37653005779164084,0.5214371812318654,0.3979127247891864,0.4462439109331734,0.4580922967717499,0.44433858552772754,0.4667071294984718,0.49146798980544193,0.41438672434084967,0.40884895528247883,0.36619213022954855,0.4428195836014387,0.41032578508839035,0.47635340041461616,0.4393390738191813,0.41150724737581584,0.401183318766813,0.4252553965599874,0.3157853328048137,0.4047441563036469,0.4097863318027485,0.45804178782701654,0.35422501128683964,0.36042972832885184,0.434137267568692,0.349496042203697
