Stop,Start
0.016667,1.2667
2.1833,5.05
5.0833,5.8667
5.9,6.3833
6.4167,7.05
7.0833,8.35
8.3833,9.9167
9.95,11.017
11.05,13.483
13.517,14.367
14.567,30.867
30.9,36.2
36.567,40.167
41.217,41.783
41.817,47.383
47.8,49.783
49.817,74.517
74.55,75.633
75.667,118.7
118.73,119.57
120.47,127.38
127.42,185.13
185.17,186.28
186.32,186.83
188.5,218.58
219.32,223.63
223.67,224.3
226.68,227.68
229.38,230.22
230.25,232.95
232.98,235.02
235.05,240.2
240.23,241.18
241.22,241.7
243.7,244.57
244.6,249.27
249.38,251.12
251.77,252.25
253.12,253.78
257.3,257.82
258.32,259.98
260.02,262.88
265.53,267.02
268.15,275.12
275.57,276.05
277.4,278.25
278.45,284.47
286.18,287.2
287.38,287.95
290.02,290.7
290.73,295.02
295.05,295.97
300.12,301.2
302.12,304.17
