T1,T2
19.534,19.8
27.167,27.434
30.067,30.484
33.65,34.067
44.95,45.3
47.217,47.534
50.3,50.567
61.967,62.284
67.584,67.934
78.584,78.934
81.417,81.701
87.384,87.767
93.301,93.617
100.27,100.55
105.82,106.13
109.85,110.05
116.4,116.73
118.85,119.13
121.58,121.95
123.38,123.65
131.82,132.2
138.68,139
144.77,145.03
147.53,147.73
149.55,149.93
155.05,155.3
164.22,164.53
169.38,169.65
177.12,177.4
179.78,180.08
192.02,192.49
198.69,199
209.05,209.42
215.75,216.05
221.77,222.1
223.84,224.17
230.9,231.37
232.37,232.64
237.5,237.92
240.24,240.5
242.75,243
249.14,249.45
250.39,250.72
251.9,252.22
252.9,253.25
255.25,255.42
256.97,257.24
258.84,259.12
263.09,263.34
271.89,272.29
275.12,275.44
276.69,276.97
280.24,280.55
293.55,293.8
296.1,296.55
