Start,Stop
7.75,9.3167
9.8667,17.483
18.25,18.383
22.25,27.467
30.917,34.9
39.233,42.35
42.833,42.867
44.267,48.233
49.9,50.283
50.767,50.817
54.383,56.817
57.417,57.967
58.917,60.8
66.533,69.733
71.8,81.15
84.717,84.75
87.05,107.82
108.3,108.33
110.92,129.73
132.5,133.08
134.22,141.43
145.55,158.38
158.92,171.35
176.1,187.4
189.9,190.02
192.28,203.42
206.9,206.93
208.38,214.68
217.03,217.07
219.37,229.33
229.83,229.87
234.55,246.43
248.23,248.27
251.85,256.82
263.58,267.02
268.27,268.3
269.77,269.8
272.52,277.88
279.38,279.42
282.53,285.47
290.12,290.15
292.88,295.78
