Start,Stop
3.65,5.6833
6.5,6.5333
7.2167,9.8833
12.017,14.567
17.217,17.583
19.35,19.717
21.6,22.017
24.467,25.85
26.383,31.183
31.95,33.333
37.633,38.717
40.567,40.883
47.167,51.4
54.733,57.367
59.433,60.317
63.583,70.367
71.733,72.467
72.95,76.817
78.133,80.733
82.5,87.8
88.333,91.717
92.55,97.65
98.15,99.967
100.47,105.23
105.73,127.25
127.77,130.78
131.3,133.37
134.03,136.83
137.52,142.45
142.93,163.1
163.7,189.8
190.47,191.83
192.5,197.62
198.25,210.05
210.53,211.43
213.83,221.03
221.65,223.12
224.43,231.6
233.33,234.43
235.4,235.93
237.93,260.48
261.03,268.17
268.65,288.43
289,290.65
291.68,300
