Start,Stop
5.2333,5.2667
7.65,7.6833
12.367,14.2
20.283,22.417
25.333,27.25
39.45,43.55
44.117,44.767
46.6,46.967
49.383,49.817
50.3,53.817
60.55,64.717
65.367,67.25
75.45,77.383
79.117,80.85
84.817,85.733
86.583,87.217
88.867,88.9
92.25,93.5
94.267,94.367
95.867,95.9
97.133,97.217
98.417,100.22
100.8,102.18
112.02,117.03
118.52,123.23
126.48,136.27
139.08,139.12
143.98,151.75
152.27,156.3
156.9,159.18
160.03,161.27
163.12,165.27
167.05,167.08
168.48,168.52
169.77,169.8
170.52,175.42
176,179
180.5,180.53
183.6,183.83
184.83,190.33
191.57,191.6
192.13,192.17
193.35,198.32
199.77,199.8
203.5,205.95
206.9,207.53
211.47,219.7
220.42,220.52
221.6,221.63
222.93,222.98
223.52,231.12
236.8,241.38
243.1,243.13
248.47,257.2
264.4,264.43
266.07,268.92
274.07,277.28
278.23,278.27
285.27,288.22
288.82,288.85
289.78,289.88
293.03,297.8
298.45,298.48
300.7,300.73
