Start,Stop
4.05,8.5
9.3333,10.983
13.117,13.15
13.933,14.067
15.183,17.483
18.183,18.217
18.8,19.05
20.3,23.833
25.233,25.5
26.183,31.633
32.717,33.483
35.2,47.033
47.9,49.267
49.867,55.383
56.05,64.917
66.017,66.15
66.7,67.217
67.717,80.183
80.833,94.217
95.75,105.65
106.22,108.4
109,113.42
113.93,114.12
114.73,121
121.8,137.78
138.53,147.73
148.28,148.32
149.65,150.03
151.8,155.62
156.93,158.25
158.93,158.97
159.6,161.77
162.6,163.37
163.93,165.53
166.1,166.17
167,171.92
172.65,172.95
173.8,174.42
176.52,178.7
179.92,179.95
180.8,180.97
181.85,181.88
182.47,182.53
184.18,184.4
185.15,185.35
186.13,186.17
187.35,190
192.12,197.17
197.85,198.47
199.37,199.4
200.38,202.48
203.17,204.22
204.98,205.07
206.7,209.37
210.13,212.22
212.87,213.68
214.98,215.02
216.35,227.13
228.05,228.53
229.03,241.58
242.27,243.43
243.92,247.45
247.95,249.47
250.35,251.37
252.18,252.58
253.45,257.47
258.13,261.95
262.52,262.87
263.63,264.03
264.58,265.52
266.1,266.43
267.68,267.72
269.02,269.07
270.62,271.03
271.75,271.8
274.48,276.42
280.17,282.8
283.92,284.92
285.6,285.63
289.08,289.12
289.78,292.3
298.73,300.88
302.05,302.1
