Start,Stop
0,9.1283
9.7533,16.842
17.368,31.76
32.681,49.112
49.819,58.355
59.309,68.438
68.997,71.628
72.237,79.539
80.164,81.069
81.562,86.661
87.385,90.724
91.25,98.092
99.243,100.79
101.56,103.29
104.11,113.21
114.51,115.9
116.66,120.87
121.66,130.81
132.07,138.68
139.36,139.88
140.51,148.29
149.16,155.77
156.5,156.53
157.06,157.89
158.49,162.12
163.24,177.12
177.93,179.05
179.69,189.95
190.61,197.93
198.65,199.41
200.2,205.53
206.13,210.1
210.69,218.31
219.36,220.35
221.79,224.64
225.81,228.32
229.03,232.66
233.16,233.93
234.51,244.14
244.62,245.31
246.64,246.91
247.57,249.06
250.31,257.12
258.52,269.7
271.38,279.26
280.18,282.53
283.49,292.34
292.93,293.63
294.29,298.31
298.78,299.57
300.25,300.54
