Stop,Start
3.25,4.3667
5.8667,6.3833
6.7,11.533
12.317,18.583
22.3,30.033
31.767,32.333
32.767,33.883
34.35,34.883
35.45,40.6
41.8,42.55
42.683,43.233
43.267,44.067
46.367,47.4
47.45,52.783
52.817,53.417
60.183,62.167
64.333,64.817
65.433,68.233
70.867,72.783
76.183,76.75
77.917,82.633
86.683,87.217
87.65,88.55
88.917,89.733
89.767,90.4
90.433,95.017
103.08,104.43
104.47,107.1
111.42,111.92
112.68,113.45
113.67,114.4
114.63,118.45
119.27,119.8
123.57,125
125.03,126.18
127.62,128.15
129.07,129.58
130.48,136.08
138.62,143.22
145.6,146.6
147.18,148.27
148.73,149.93
150.42,154.2
157.45,158.02
158.05,161.47
165.17,166.05
166.22,167.05
167.08,169.43
171.72,172.52
172.93,173.42
176.35,176.92
177.2,177.73
179.95,180.82
181.52,182
182.15,182.7
182.75,184.22
184.25,185.05
188.75,189.3
192.85,196.78
198.28,198.78
199.2,207.62
211.63,212.18
212.22,213.32
215.15,215.9
221.08,223.13
223.17,224.02
224.05,225.3
225.52,227.18
227.8,228.28
228.42,229.07
231.5,232.17
232.22,232.93
234,234.75
235.53,236.55
237.63,238.32
239.95,240.62
241.15,255.47
255.5,257.25
257.28,266.4
266.72,268.6
268.65,269.78
269.82,270.65
270.68,271.77
272.05,273.02
273.27,274.3
275.7,276.43
277.82,285.65
287.97,288.47
290.93,291.42
294.93,296.6
296.63,301.12
301.38,303.43
303.47,304.15
