NUM_COMPONENTS_RETAINED,FRAC_VARIANCE_EXPLAINED
0.0,0.18032751380737252
1.0,0.30138050521186577
2.0,0.38548705188033655
3.0,0.45144851119807416
4.0,0.5095793850735497
5.0,0.5572001209133416
6.0,0.5940025370380579
7.0,0.6285453199383104
8.0,0.6550463232245328
9.0,0.6804944657310776
10.0,0.7045867635962019
11.0,0.7242673571552678
12.0,0.74159560863275
13.0,0.7585426840423332
14.0,0.7730680378277912
15.0,0.786212954833171
16.0,0.798033890184946
17.0,0.809249419558334
18.0,0.8195413484308752
19.0,0.8296349555890609
20.0,0.8384918448476175
21.0,0.8472432775802834
22.0,0.8554387026947898
23.0,0.8631594809172672
24.0,0.8705678943397734
25.0,0.8775510007115971
26.0,0.8842403104134497
27.0,0.8901526274596562
28.0,0.8958374910123377
29.0,0.9014424732335174
30.0,0.9068123836870887
31.0,0.9121423948881823
32.0,0.9171086694693653
33.0,0.9216486317298325
34.0,0.9259054475575478
35.0,0.9300096055123137
36.0,0.933678863221306
37.0,0.937268539737876
38.0,0.940854862166227
39.0,0.9443002932611937
40.0,0.9473537027939014
41.0,0.9502983445384864
42.0,0.9530828870105362
43.0,0.9558489116399487
44.0,0.9584960130728354
45.0,0.9610178072627731
46.0,0.9634334880209973
47.0,0.965691426637219
48.0,0.9676924099656894
49.0,0.9695733101026961
50.0,0.9714332143121447
51.0,0.9731132199386087
52.0,0.9747602907772104
53.0,0.9761728819951986
54.0,0.977460294834179
55.0,0.9786611959199151
56.0,0.9798166007053863
57.0,0.9808787843722895
58.0,0.9818565856160576
59.0,0.982795406672666
60.0,0.9837034317254831
61.0,0.9845282821017418
62.0,0.9852691618213097
63.0,0.9859900982648473
64.0,0.9866848912611855
65.0,0.9873528793580977
66.0,0.9879714704128566
67.0,0.9885531511002625
68.0,0.9891309406195805
69.0,0.9896786435071827
70.0,0.9902164228939337
71.0,0.9906872086287422
72.0,0.9911371793588166
73.0,0.9915712012287086
74.0,0.9919865731890007
75.0,0.992390313611229
76.0,0.992763543133415
77.0,0.9931306575646425
78.0,0.9934849518639534
79.0,0.9938172334352945
80.0,0.9941441331089385
81.0,0.9944555542208555
82.0,0.9947582138493588
83.0,0.9950513363525145
84.0,0.9953254011070849
85.0,0.9955780728794901
86.0,0.9958201862553759
87.0,0.9960529625546198
88.0,0.9962667494606668
89.0,0.9964739820009756
90.0,0.9966562530483516
91.0,0.9968345245285531
92.0,0.9970093980339567
93.0,0.997168421223852
94.0,0.9973223975689471
95.0,0.9974700082651224
96.0,0.9976088296544885
97.0,0.9977434040471529
98.0,0.9978697304356909
99.0,0.9979907939330288
100.0,0.9981098270450189
101.0,0.9982200534221871
102.0,0.9983257696917336
103.0,0.9984271586427734
104.0,0.9985234701040964
105.0,0.998610729769302
106.0,0.9986947082687246
107.0,0.9987712722505278
108.0,0.9988467688333438
109.0,0.9989177528149256
110.0,0.9989857427474018
111.0,0.9990471664999675
112.0,0.9991051558548724
113.0,0.9991603975087199
114.0,0.9992099500806991
115.0,0.9992559297030287
116.0,0.9993001300465645
117.0,0.9993414369177888
118.0,0.9993798377674149
119.0,0.9994158202603017
120.0,0.9994499155536455
121.0,0.9994824944133768
122.0,0.9995133813789432
123.0,0.9995430674870694
124.0,0.9995704213488155
125.0,0.9995948782921721
126.0,0.999617944598903
127.0,0.9996396945227463
128.0,0.999660823377767
129.0,0.9996808427225233
130.0,0.9996994322465608
131.0,0.9997170694760408
132.0,0.9997339614348858
133.0,0.9997505002262767
134.0,0.9997665420957251
135.0,0.9997818450205683
136.0,0.9997962839909964
137.0,0.999810579249259
138.0,0.9998244709712947
139.0,0.9998374039168064
140.0,0.999850044156268
141.0,0.9998618633820879
142.0,0.999872970128488
143.0,0.9998831906589035
144.0,0.9998930523378703
145.0,0.9999024085448847
146.0,0.9999116231693334
147.0,0.9999204990380516
148.0,0.9999286750197287
149.0,0.9999367006059033
150.0,0.9999444268525032
151.0,0.9999519331702984
152.0,0.9999590181765949
153.0,0.9999655222307338
154.0,0.9999718124403509
155.0,0.999977907966348
156.0,0.9999838390074437
157.0,0.9999895838773836
158.0,0.9999950090594811
159.0,1.0
