G2_RSP,Fly,For_Vel_Pre,G2_Pre,G4_Pre,Motion_Post,Mvmt_Ctr,T_Init
-0.47580932785634644,20160119.Fly1,0.0041912840652443524,1.6801569072328149,0.870947256764452,0.043438394743379696,0,36.5
-0.43393817063459583,20151230.Fly1,0.00011655694615139362,1.043828973997921,1.1638014370716123,0.04754385701392971,16,218.75
-0.40047763199789876,20160119.Fly1,0.0010898085939118043,1.8325171026588598,0.9367691306035084,0.08402421323035678,2,120.58
-0.38696236534353645,20160119.Fly1,0.006052366713776019,1.8498732145015957,1.163639617308832,0.07715687929687906,1,223.37
-0.3835215165357424,20151230.Fly1,5.164941422636409e-05,0.7685176399153638,0.8071214005504121,0.04527268591876311,19,277.13
-0.3767658990591672,20151230.Fly1,0.0018899836700509334,0.990108448890877,1.0927392524561768,0.060098757600936824,19,260.75
-0.3742263209897767,20160119.Fly1,0.0024343220001118897,1.6466707187058023,0.8181854803735579,0.06200541713199813,0,24.55
-0.3661348654981647,20151230.Fly1,6.752863854971185e-05,0.8484867564874682,0.6598123411411488,0.05106603502599766,5,78.117
-0.3600547103463549,20160119.Fly1,1.3994833955176776e-05,1.795815442501684,0.7996117021406871,0.06591956782023624,1,110.22
-0.35498424407880147,20160119.Fly1,0.005061426370094944,1.9917358013165753,0.9333368561521022,0.06411785478531554,0,30.033
-0.3434073460525042,20151230.Fly1,-2.35261257672884e-05,0.8082410161594048,0.8022698425398426,0.048784754771192644,15,216.07
-0.3351461552757592,20160119.Fly1,0.003276787246463125,1.4553531269492401,0.8088510355045152,0.06652003876394363,3,209.97
-0.32743575952136345,20160210.Fly3,0.0037875887714394984,0.8672686473055882,0.6095929219568416,0.06469870155551775,1,244.5
-0.32108463673496573,20160119.Fly1,-4.2115363900869615e-05,1.7716409701043383,0.9213466929280226,0.07959051989036887,3,159.53
-0.30854961788673474,20151230.Fly1,9.073685308832088e-05,0.8689889241739486,0.7409642414441925,0.053708307833383,16,225.98
-0.3010528718111667,20160119.Fly1,0.000919955596643483,1.548191565237038,0.8202156156300416,0.05591371200572566,5,276.9
-0.2992359382402626,20160524.Fly1,0.0006681757986145632,0.9679997836385583,0.8771979578964851,0.05737020069496197,2,141.62
-0.29849864241928625,20160210.Fly2,0.0012754630887047238,1.3234300481210606,0.7144707729878181,0.04760608041678192,10,179.88
-0.29786319314316584,20160119.Fly1,0.0021354449520785005,1.39651017740462,0.7986988667649837,0.05939150010865907,4,242.5
-0.2976629982855199,20151230.Fly1,-1.235470938804192e-05,0.7885701735979751,0.6239045291438221,0.04794090483125937,2,35.8
-0.2918111613977172,20160210.Fly2,0.0004462394266392864,1.227166827380172,0.7219722575831697,0.04822539278467002,6,118.43
-0.2913352493064567,20151230.Fly1,0.00016608034461262997,0.8723600647442847,0.7390026871014682,0.054176879093257524,18,265.07
-0.2909293533553511,20160210.Fly2,0.001782002071359925,1.133490934150923,0.7349169624647784,0.04322381452919416,2,46.617
-0.28797067554243816,20160119.Fly1,0.0005405015205486188,1.4356635417225698,0.9218099249401867,0.06212161138741605,4,237.98
