Start,Stop
0,10.167
12.6,21.783
22.383,27.833
29.983,38.333
38.983,51.5
54.267,65.833
66.317,67.433
67.933,68.867
69.667,79.1
79.817,91.4
92.35,102.08
102.75,114.2
115.52,116.4
117.08,126.23
129.2,136.27
136.98,140.75
141.27,154.15
155.65,167.35
168.02,168.92
171.35,175.23
175.75,181.77
182.5,188.45
190.6,192.7
193.23,204.37
205.93,211.88
212.92,215.9
217.35,219.42
220.1,227.83
229.72,239.28
240.03,241.98
244,253.47
255.68,258.15
258.77,269.22
271.43,278.17
278.77,284.8
285.33,288.08
290.73,300.83
