Start,Stop
1.5833,1.7667
3.0333,3.6833
4.1667,5.05
6.0167,6.4333
8,8.4833
10.033,10.633
11.867,16.75
17.333,21.767
22.85,22.883
24.617,28.283
28.917,29.117
30.517,30.967
31.483,34.95
37.183,37.35
39.433,40.017
41.267,49.033
53.217,60.817
65.283,65.317
70.4,72.133
72.65,72.767
73.3,77.217
78.833,78.867
80.7,83.283
83.883,90.917
92.117,92.283
94.267,99.5
100,100.93
101.52,101.55
102.07,102.6
104.77,104.8
105.87,105.9
106.5,106.55
109.23,114.48
115.95,116.17
116.67,117.05
117.72,117.85
118.47,120.58
121.07,126.42
127.55,128
128.83,128.87
129.43,132.2
132.97,133.47
136.35,140.17
140.95,141.47
141.98,142.6
145.03,153.2
154.47,159.4
159.98,160.25
161.37,161.7
164.68,167.92
168.45,173.8
175.33,179.13
180.37,180.4
181.28,182.03
182.63,183.27
184.08,184.13
185.15,185.23
186.28,196.6
197.45,198.47
200.83,205.85
206.4,210.88
211.4,211.8
213,215.48
216.08,216.27
216.8,220.07
221.7,228.45
229.02,231.88
232.38,234.33
235.1,235.13
236.05,237.57
238.47,238.9
240.32,245.4
245.95,246.83
248,252.65
253.7,253.77
256.25,256.28
257.15,258.88
260.48,263.33
264.07,264.57
265.37,265.4
266.08,274.25
274.97,275
277.83,277.87
278.73,280.88
281.48,281.63
282.37,282.4
284.68,287.45
288.5,288.57
289.18,290.9
291.58,291.62
292.78,295.8
298.08,298.48
299.33,299.37
300.37,302.52
