Stop,Start
2.8,3.2833
9.5833,10.783
17.667,19.667
28.85,30.35
31.183,32.867
46.833,48.617
49.667,50.483
51.633,53.45
63.733,64.633
67.2,69
73.567,74.983
78.433,78.917
80.8,81.383
84.467,86.517
86.683,87.283
87.7,90.183
91.717,92.217
99.133,99.633
100.27,101.07
103.33,106.18
114.1,117.02
130.28,132.38
133.48,134.13
134.4,136.85
137.15,138.25
139.78,140.35
148.78,149.72
153.12,153.97
154.4,156.58
162.2,162.92
163.47,163.98
164.17,165.45
170.58,171.12
171.62,174.07
177.18,177.68
182.38,185.02
186.18,187.27
187.3,187.95
191.75,192.25
196.33,196.83
197.85,198.48
203.98,204.85
204.88,206.7
210.17,210.7
215.32,216.42
217.57,220.05
227.42,228.87
233.93,234.67
235.85,238.38
241.67,242.23
243.82,244.42
244.63,245.62
245.95,251.4
270.25,272.25
279.22,279.7
280.92,281.42
282.48,283.15
283.18,286.02
292.65,293.23
293.7,294.35
295.9,296.45
298.7,302.02
