T1,T2
4.5333,4.9167
6.5167,6.6833
23.2,23.617
31.95,32.217
39.883,40.1
40.9,41.1
43.117,43.3
52.983,53.217
62.217,62.483
65.067,65.3
65.833,66.167
71.717,72.167
83.35,83.6
94.867,95.217
102.85,103.12
105.32,105.8
111.5,111.85
126.28,126.65
132.15,132.52
133.93,134.13
134.92,135.23
143.63,143.85
147.72,148.07
152.38,152.57
154.53,154.77
174.22,174.48
184.77,185.1
190.6,190.9
199.87,200.3
213.22,213.52
219.7,220.17
221.73,221.88
234.23,234.55
243.88,244.12
254.97,255.45
261.65,262.05
266.05,266.47
267.82,268.07
274.85,275.12
278.02,278.28
281.13,281.43
294.47,294.72
295.38,295.65
