BEHAV,DAN,20151230.Fly1.1,20151230.Fly1.2,20151230.Fly1.3,20160118.Fly1.2,20160118.Fly1.3,20160118.Fly1.4,20160118.Fly1.6,20160118.Fly1.7,20160118.Fly1.8,20160118.Fly2.1,20160118.Fly2.2,20160118.Fly2.3,20160118.Fly2.4,20160118.Fly2.5,20160118.Fly2.6,20160118.Fly4.1,20160118.Fly4.2,20160118.Fly4.3,20160118.Fly4.4,20160118.Fly4.5,20160118.Fly4.6,20160118.Fly4.7,20160118.Fly4.8,20160119.Fly1.1,20160119.Fly1.2,20160119.Fly1.3,20160119.Fly1.4,20160119.Fly3.1,20160119.Fly3.2,20160119.Fly3.3,20160119.Fly3.4,20160119.Fly3.5,20160130.Fly3.1,20160130.Fly3.2,20160130.Fly3.3,20160130.Fly3.4,20160130.Fly3.5,20160130.Fly3.6,20160130.Fly3.7,20160201.Fly2.1,20160201.Fly2.3,20160201.Fly2.4,20160201.Fly2.5,20160201.Fly2.6,20160201.Fly2.7,20160202.Fly1.1,20160202.Fly1.2,20160202.Fly1.3,20160202.Fly1.4,20160203.Fly4.1,20160203.Fly4.2,20160203.Fly4.3,20160203.Fly4.4,20160203.Fly4.5,20160203.Fly8.1,20160203.Fly8.2,20160203.Fly8.3,20160203.Fly8.4,20160203.Fly8.6,20160205.Fly1.1,20160205.Fly1.2,20160205.Fly1.3,20160205.Fly1.4,20160205.Fly1.5,20160205.Fly1.6,20160205.Fly3.1,20160205.Fly6.1,20160205.Fly7.1,20160205.Fly7.2,20160205.Fly7.3,20160205.Fly7.4,20160205.Fly8.1,20160210.Fly1.1,20160210.Fly1.2,20160210.Fly1.3,20160210.Fly1.4,20160210.Fly2.2,20160210.Fly2.3,20160210.Fly3.1,20160210.Fly3.2,20160210.Fly3.3,20160210.Fly3.4,20160211.Fly1.1,20160211.Fly1.2,20160211.Fly2.1,20160211.Fly3.1,20160211.Fly3.2,20160211.Fly3.3,20160211.Fly3.4,20160211.Fly4.1,20160211.Fly4.2,20160211.Fly5.1,20160211.Fly5.2,20160524.Fly1.1,20160524.Fly2.1,20160524.Fly2.2,20160524.Fly2.3,20160524.Fly3.1,20160524.Fly4.1,20160525.Fly1.1,20160525.Fly1.2,20160525.Fly1.3,20160525.Fly2.1,20160525.Fly2.2,20160525.Fly3.1,20160525.Fly3.2,20160525.Fly4.1,20160525.Fly4.2,20160525.Fly5.1,20160525.Fly5.2,20160525.Fly5.3,20160525.Fly6.1,20160525.Fly6.2,20160526.Fly1.1,20160526.Fly2.1,20160531.Fly2.1,20160531.Fly2.2,20160531.Fly2.3,20160601.Fly1.2,20160601.Fly2.1,20160601.Fly4.1,20160614.Fly1.1,20160614.Fly1.2,20160614.Fly1.3,20160614.Fly1.4,20160614.Fly2.1,20160614.Fly2.2,20160614.Fly2.3,20160614.Fly3.1,20160614.Fly3.2,20160614.Fly3.4,20160614.Fly4.1,20160614.Fly4.2,20160628.Fly1.1,20160628.Fly1.2,20160628.Fly1.3,20160628.Fly1.4,20160628.Fly2.1,20160628.Fly2.2,20160628.Fly2.3,20160628.Fly2.4,20160628.Fly3.1,20160628.Fly3.2,20160628.Fly4.1,20160628.Fly4.2,20160628.Fly4.3,20160628.Fly5.1,20160628.Fly5.2,20160628.Fly5.3,20180208.2.3,20180220.3.3,20180303.1.3,20180305.1.1,20180305.1.2,20180305.2.3,20180305.4.3,20180306.1.4,20180307.3.2,20180313.Fly2.2,20180313.Fly3.1,20180313.Fly3.2,20180313.Fly4.1,20180328.Fly5.2,20180402.Fly1.3,20180402.Fly2.1,20180403.Fly2.2,20180403.Fly5.2,20180413.Fly10.1,20180413.Fly5.1,20180413.Fly9.2,20180418.Fly3.1,20180418.Fly5.2,20180420.Fly1.1,20180420.Fly4.1,20180420.Fly5.2,20180420.Fly6.1,20180420.Fly7.2
Motion,G2,NaN,NaN,NaN,NaN,-2.116769360007721,-0.9853092774876071,-0.7586311572078983,-1.0201718228973178,-1.6641739798994135,NaN,-0.12992750342398596,-0.20866243013689356,-0.0378566767403421,-0.04470709259630734,-0.05613171178129539,NaN,NaN,NaN,NaN,NaN,-0.5461723365251632,-0.30845676247027276,-0.2030323421836171,-0.5704925518910346,-0.3894014061389719,-0.11536009289468385,0.012969112406405414,-0.5430064918050321,NaN,NaN,NaN,NaN,-3.0170252136760496,NaN,NaN,NaN,NaN,NaN,-0.4679544372903437,NaN,NaN,NaN,NaN,NaN,NaN,-0.01846462345082145,-0.03100868232478038,-0.07174150267171475,-0.046806196751846496,-0.20018261217429645,-0.6295131557547577,-0.8067638672727895,-0.5424095765917458,-0.1495800991326397,0.04639736856487631,-0.28609406122809444,-2.5436158527198023,-2.253359877597255,-0.82452019051267,NaN,NaN,NaN,NaN,NaN,NaN,-0.09708050364744492,0.14545518661488321,NaN,-1.0288393545772059,-0.2599713172308835,-0.23116020224354505,NaN,NaN,NaN,NaN,NaN,-2.347828506504672,NaN,-0.1587384775984182,-1.8949229294829522,-0.8755458920747476,-27.795229354714976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1402213455958632,-0.4729925711645402,NaN,NaN,-0.06293790034724656,-0.0725965900139749,-0.0851864214905158,-0.15113267405014996,NaN,NaN,-0.18822103517426236,-3.33958766110422,-1.2334581742593742,-0.01732158178467147,-0.20798421219333108,0.04516075198117753,0.16610932256284894,NaN,NaN,-2.224862104891189,NaN,-0.25039805054187103,-4.864824284313391,-0.19916513844514538,NaN,-0.09502954044094447,NaN,NaN,NaN,-0.055425431435444095,-0.09983034595943274,-0.05919347743325787,-0.12269515830748623,0.1994714023738101,-0.06053565324230625,-0.07184730814784013,-0.05761536793785438,-0.12440242341652508,-0.08971560627187669,0.19403704374972897,-0.08566367687343623,-0.06252657887648438,-0.13195791151923553,NaN,NaN,NaN,NaN,NaN,-0.2782879338908806,-0.47614934623764316,-0.26798443589007803,-0.2520799474156148,-20.712528325928144,NaN,0.26836226715191336,0.07050776902167977,0.11246559410389545,-0.30968225679667016,0.06591647934136047,0.008756992120925844,NaN,-0.05135815027951196,-0.23237472197413211,-0.1796957410122082,-0.8768785474268328,-0.13461318232726582,-0.38271579934341626,-4.943777554182156,-0.27364330023838623,NaN,NaN,NaN,-0.13491545325217857,-0.08737037739528697,NaN,-0.13363173245333915,-0.16237881584176472,-0.11827420434534153,-0.24755797486296793,-0.13559054361775758,-0.17976950700940408,0.09080673010433005,-0.048484508635068035,-0.42180859325013587,-0.7803320301616288,-2.1806378878135253,-0.26211244119924926,NaN
Motion,G3,NaN,NaN,NaN,NaN,-1.8589180876952804,-1.002191888317784,-0.6049086850804459,-0.44670653042431274,-1.33485418339531,NaN,0.0005395585253277213,0.12740200555605008,0.2707389105054734,0.3213767202231167,0.1428310798497222,NaN,NaN,NaN,NaN,NaN,-0.41522554664155065,-0.19806611845569555,-0.22735612819862894,-0.6432407221100933,-0.37503452134612947,-0.2025680682668174,-0.08158441017964391,-0.13781496734761056,NaN,NaN,NaN,NaN,-4.979849944168566,NaN,NaN,NaN,NaN,NaN,-0.3766921006159407,NaN,NaN,NaN,NaN,NaN,NaN,-0.044591845213855175,-0.05144639175168719,-0.11874822222384473,-0.08304695334904255,-0.41417015232543175,-0.482207505413786,-0.557996533711216,-0.6211245513644261,-0.15228798848527436,0.08001371746090835,-0.3092353028674719,-3.167970563960832,-1.7607143040276867,-0.8164787659454702,NaN,NaN,NaN,NaN,NaN,NaN,-0.016721956651456482,0.20987741306252805,NaN,-0.6874460967832545,-0.011055863566534763,0.009845107546241905,NaN,NaN,NaN,NaN,NaN,-2.5603770353802604,NaN,-0.3176768066277653,-1.1523639776877217,-1.1425715193858301,-28.401679897854372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.017471755161644564,-0.3539166594517853,NaN,NaN,-0.3439358397847663,-0.0366156861970206,-0.11182691744638285,-0.1120272556319073,NaN,NaN,-0.313010886929181,-2.9812853954268883,-1.2264499689404817,0.14456915371180667,-0.036606593173009294,0.015331715664463008,0.028224031761126644,NaN,NaN,-3.0000454391716573,NaN,0.30091837626322526,-1.1540882716569167,-0.0960385423711081,NaN,-0.1380173700090901,NaN,NaN,NaN,0.06380332010241885,-0.08497475182254877,-0.10964484250110473,-0.1361727549838807,0.057456896762171805,-0.1764067138331642,-0.013397592789481827,-0.22213158831403734,-0.33745303276586136,-0.04718678273937238,0.3199776910610804,0.021003915139511276,0.05723018414856129,-0.1633194307450152,NaN,NaN,NaN,NaN,NaN,-0.27957067420299664,-0.2406615351162007,-0.2582160224824581,-0.08890308443463546,-15.595097766381063,NaN,0.45341859078012514,-0.11382840375282344,0.04945717551033002,0.21921021561811815,0.22628553543735586,-0.04593071574596741,NaN,-0.12488130466760783,-0.07935079219694008,-0.37837076594330066,-0.668363454747948,-0.11306127011557465,-0.3971324758946828,-6.958753847924375,-0.2173870983095385,NaN,NaN,NaN,-0.12491558125403768,-0.13575667661033908,NaN,-0.05169303720586993,-0.22826687736667362,-0.14106706080642728,0.07671346917776134,-0.09666157894093796,-0.1739360006916122,-0.13602966853371878,0.09853108608480043,-0.37251510872395976,-0.814423836679959,-1.7697468494087745,-0.35970496337071367,NaN
Motion,G4,NaN,NaN,NaN,NaN,-2.4530402547022088,-1.197619967294627,-0.6190910683894626,-1.1785000342858267,-2.006795664142689,NaN,-0.48954548516537155,-0.20291673136817479,-0.17807788687850556,-0.3142521773087601,-0.0730516682596527,NaN,NaN,NaN,NaN,NaN,-0.47507491015274494,-0.23259094918615308,-0.18209290798999245,-0.2747929777163127,-0.46478228374117014,0.020911621687184745,0.02955441158309491,-1.0768138628692965,NaN,NaN,NaN,NaN,-7.600834387063854,NaN,NaN,NaN,NaN,NaN,-0.48748518259777396,NaN,NaN,NaN,NaN,NaN,NaN,-0.03323668844871919,-0.10670266543589446,-0.0421467986912214,-0.08314363187140827,-0.035063015663197694,0.024685691075361782,-0.1928763107646767,0.03941302335506025,0.3031769071546404,-0.030446783008885037,-0.3590822598707195,-2.789747636540922,-2.6023240105844327,-0.7279348551960512,NaN,NaN,NaN,NaN,NaN,NaN,0.10427649791273119,-0.0900658673504835,NaN,-1.0104237511232972,-0.04507840682086095,-0.018940775231020224,NaN,NaN,NaN,NaN,NaN,-2.683524726520173,NaN,-0.2292739512355868,-1.9414256246390296,-0.9242398975384463,-31.837796842879854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.49387997785713333,-0.41221286402709656,NaN,NaN,-0.6163482990785218,0.12706350520034948,-0.10703494204887676,-0.14929509555164233,NaN,NaN,-0.5165090138992163,-3.3978116215140277,-1.0027095579043213,-0.164376266522273,-0.19399274639241582,-0.0696355631527068,0.028663082617308544,NaN,NaN,-2.2556184361885716,NaN,-0.4803395631367515,-5.194376510144799,-0.33321866189514426,NaN,-0.08756743226910646,NaN,NaN,NaN,-0.06655027538836444,-0.007335943483174789,-0.0847964105228527,-0.1831439047815766,-0.13136047647083537,-0.11498277681923996,-0.15636990150443753,0.06728590220773689,-0.3386956989934353,0.07280796358254116,0.22894746951917033,-0.1335679466163755,-0.11696438321185743,-0.19625619698262642,NaN,NaN,NaN,NaN,NaN,-0.1828800652741287,-0.2218990386255868,-0.2918776365479252,-0.22405560119972145,-12.666365855593533,NaN,0.03879083445898335,0.05985206005813937,-0.003358606716389101,-0.33831716076883755,-0.08878607215432655,0.010499155693483586,NaN,-0.043618858437450614,-0.16812181141247318,-0.07465405957647464,-0.8701529565307564,-0.15612486395972547,-0.3761342307760456,-3.938436599864322,-0.17680577638476036,NaN,NaN,NaN,-0.12545078425882505,-0.16945878002971293,NaN,-0.09772331314615501,-0.2000751028360106,-0.09411839120265975,-0.10296122769915761,-0.1757262641131465,-0.2005321643186222,0.16929209542479629,0.020732398838558264,-0.5337570698883287,-0.6287800169397917,-1.7432540065717292,-0.28463418633396453,NaN
Motion,G5,NaN,NaN,NaN,NaN,-2.0639199590255544,-1.159044853068289,-0.7841219814991067,-0.9513630187750608,-1.742459984626605,NaN,-0.24406051829060438,0.061478937602731265,-0.06689551159224405,-0.40323896589468045,-0.0336738775072265,NaN,NaN,NaN,NaN,NaN,-0.3760277363901725,-0.08934978305223584,-0.1785710662846529,-0.34168452205409117,-0.34215492506638756,-0.18048245142566155,-0.07219862196468596,-0.19987865458326226,NaN,NaN,NaN,NaN,-8.335344229032467,NaN,NaN,NaN,NaN,NaN,-0.6053772228047776,NaN,NaN,NaN,NaN,NaN,NaN,-0.01058564194158107,-0.10925775610494748,-0.05761498087605044,-0.09371771470130219,-0.2629474427161096,-0.36571254133192665,-0.4134024468239268,-0.9147459305090191,-0.08679909215898363,0.2649641622929729,-0.33430708551592114,-2.831890187492718,-1.845317898150653,-0.8370918506794878,NaN,NaN,NaN,NaN,NaN,NaN,0.0007067143015137001,-0.015602507935027932,NaN,-1.058857456612119,-0.21852980420168833,-0.04675000805322971,NaN,NaN,NaN,NaN,NaN,-3.428403944477119,NaN,-0.3291551664469252,-1.9432378630531808,-0.9424597762385574,-31.946616039928834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3791928346583773,-0.46290956591394594,NaN,NaN,-0.561415947336015,0.09799584879535506,0.042798788203239124,0.016772885791401126,NaN,NaN,-0.49530589583022344,-3.520611422723377,-1.2068379363272936,-0.14867757841590623,-0.14863464628683354,-0.04406328373773749,-0.0610644583131561,NaN,NaN,-2.929598285980525,NaN,-0.3631946780446893,-3.6790653209967275,-0.227924041717944,NaN,-0.1406225780341428,NaN,NaN,NaN,-0.05013995589615372,-0.007778379401548907,-0.06286549592129576,-0.1710080063877446,0.17294400846391567,-0.138191891137609,-0.17046025575364832,0.0019416028477687863,-0.2578139911096631,-0.14583544963923178,0.30391827555614914,-0.14518459184889032,-0.10411780796291281,0.21719238581963085,NaN,NaN,NaN,NaN,NaN,-0.24725329247413486,-0.09738106570041571,-0.20448523379985506,-0.2940502918565133,-16.606261986502414,NaN,0.03257359352700151,-0.07984987194365512,0.020883562840057213,-0.46653802825477064,-0.03751531734030289,0.1761608441880087,NaN,-0.002448457001332782,-0.23022336631275842,-0.18395161094110457,-0.9074953388609008,-0.1564501794176254,-0.4235828568126492,-5.821556518519055,-0.31415900668751595,NaN,NaN,NaN,-0.1586180270716837,-0.1265950085001759,NaN,-0.14620143071003167,-0.0631215521272892,-0.09622823995168606,-0.20819480522352185,-0.18619834089846843,-0.04589669179465572,0.5302679926637448,-0.01658079419531,-0.5506954371335717,-0.9917640185314236,-2.221797770507689,-0.3483849352903703,NaN
ForVel,G2,NaN,NaN,NaN,NaN,-2.4191640257692346,-1.2026187729536235,-0.7717375142527596,-1.051244642301846,-1.8201184532019026,NaN,-0.22150591338620362,-0.27550038154866807,-0.07579116225741611,-0.06773174364776091,-0.10623869601753078,NaN,NaN,NaN,NaN,NaN,-0.4312880012492635,-0.3043068222456071,-0.1762429736925064,-0.014459769617898965,-0.11030455440634634,0.21846267390783525,0.35295160400680914,-0.7096859639549717,NaN,NaN,NaN,NaN,-3.6160763883757037,NaN,NaN,NaN,NaN,NaN,-0.3642074825710957,NaN,NaN,NaN,NaN,NaN,NaN,0.1208355495414487,0.007909638778620609,0.030933782670215182,0.21657142208390479,-0.13714707767807188,-0.6122908238019122,-0.6619573092255531,-0.6112972133507146,-0.09481149682648371,-0.07784362359653141,-0.30954091772840586,-2.2995329478084408,-2.249627677518746,-0.30173639893631177,NaN,NaN,NaN,NaN,NaN,NaN,-0.022671489042766835,-0.12706253087632402,NaN,-0.5159554264464234,0.027365436118960362,0.023213240594735063,NaN,NaN,NaN,NaN,NaN,-1.2364043759989154,NaN,-0.1930626058044178,-1.3775307713998601,-0.573934435084819,-23.638578975078154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01713142104440102,-0.4378298279509627,NaN,NaN,-0.5058810247642598,0.11637209189149877,0.03551125402995681,0.007840937888654365,NaN,NaN,-0.543395998854685,-2.514951609963883,-1.1767229440374174,-0.09018494923136844,-0.1397013697932199,0.18398388950999423,0.14428435938038586,NaN,NaN,-2.757114900553091,NaN,-0.4093787400203279,-4.292965445476304,-0.21324997607941998,NaN,-0.056670737423588635,NaN,NaN,NaN,0.016351044617037958,-0.047083784209756896,-0.08399759020483888,-0.09150957019861106,0.24320126356347405,0.0718739101805772,-0.07959219646075355,0.25691640898135004,-0.25097907686085064,-0.0306898318964961,0.2554813272250356,0.0508110987888194,-0.02219893607700607,-0.03191979113507859,NaN,NaN,NaN,NaN,NaN,0.002372456390771549,-0.39929940448748225,-0.09197190106079334,-0.19684011949033975,-20.842918643209515,NaN,0.23929236478258986,0.43843267033498334,0.4158830477638603,-0.66145165362761,-0.10712359079851752,0.10523713650465971,NaN,0.36686835212483204,-0.20831568928613287,0.07173526528654939,-0.5210757892551146,-0.05764297207647595,-0.18391178497319993,-1.7033264399492292,-0.23315639887695716,NaN,NaN,NaN,0.03311173236380538,-0.03231158003857093,NaN,-0.0278400044291498,-0.1136562859038126,-0.011393893856684434,-0.0790078674299537,-0.015175325556740393,-0.06786579000955828,0.4523752372179961,-0.11597712041624608,0.24550658842805406,-0.5596078849352797,-1.170563382580792,-0.1950987657896579,NaN
ForVel,G3,NaN,NaN,NaN,NaN,-2.127273725661903,-1.3489240254716992,-0.6733392828741838,-0.595812351313415,-1.6752196870184668,NaN,-0.1974728195287454,-0.04830607976504053,0.0756252639134608,0.17065595392264088,-0.011523348371064612,NaN,NaN,NaN,NaN,NaN,-0.48038720960488335,-0.23265471630909418,-0.23295831629074915,-0.5217151851783111,-0.20984862049774078,-0.16913913504290146,-0.06670390057870712,-0.4052514783529282,NaN,NaN,NaN,NaN,-5.091044042315179,NaN,NaN,NaN,NaN,NaN,-0.4053168379054566,NaN,NaN,NaN,NaN,NaN,NaN,0.39305832268549945,0.37575845700556076,0.10923383820753374,0.052834953748727265,-0.3943365055271739,-0.6841682889093001,-0.7079363556645264,-0.6849614997275235,-0.028509930321991783,-0.069440052939026,-0.3054567156389676,-3.1601295716066513,-2.1059232153077185,-0.6196360698104968,NaN,NaN,NaN,NaN,NaN,NaN,0.1648810997494925,0.10751136851375198,NaN,-1.0098361569331886,-0.01899444664943961,0.37799417580764116,NaN,NaN,NaN,NaN,NaN,-1.4644624123402687,NaN,-0.3549664616115886,-1.5465870638547519,-0.8472023821145067,-26.857066341686533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.034188735602815545,-0.28013807149207115,NaN,NaN,-0.7099708486273655,-0.06786644035742118,-0.09193207186931174,-0.025408764826679198,NaN,NaN,-0.509744527643611,-2.032115948939746,-1.090950950589888,-0.15735096380448654,-0.1925911559608393,0.1818307962171689,0.14453468613483034,NaN,NaN,-3.074912829143674,NaN,-0.33614811905757946,-3.3815828810199697,-0.14022811989645545,NaN,-0.1238577219857353,NaN,NaN,NaN,0.08936354600696483,-0.041423366615622736,-0.029124492582458084,-0.16167614947542663,-0.07184327449791761,-0.19558711812017737,-0.0959695750018641,-0.01186244743143594,-0.2301114949591645,0.0035854671621613488,0.2455564298137406,0.05006095697439117,0.2974294057183072,-0.11033197323662214,NaN,NaN,NaN,NaN,NaN,-0.15596727892831952,-0.41618842900810415,-0.24063834865991485,-0.25369951794249457,-19.494290541435678,NaN,0.16954235662549422,-0.06967308646980674,-0.06523471482271681,-0.5312025955913717,-0.1041509809247978,-0.1468820263829156,NaN,0.0695055403447763,-0.07923341264476225,-0.15880659784064521,0.004264474544237062,-0.07847855952301197,-0.31672639106637424,-6.954578176321531,-0.0935218018489754,NaN,NaN,NaN,-0.13528969346162723,-0.0020965368999730227,NaN,-0.007192875101006635,-0.22592805207456323,0.039402351826103854,0.19662734442029417,0.08138387535324554,-0.01473566523171721,-0.07696437419725188,-0.032165192909585194,0.17319536883120112,-0.5766172982647155,-1.2611711371828367,0.02198742747992133,NaN
ForVel,G4,NaN,NaN,NaN,NaN,-2.0640431974706135,-1.284663861930189,-0.609343015034904,-0.9325201060252801,-1.683192139891874,NaN,-0.4351484413408606,-0.256027247378686,-0.21497476920350356,-0.2997490105944176,-0.0595706636681157,NaN,NaN,NaN,NaN,NaN,-0.4128237505300021,-0.21230336426799123,-0.13274778615209493,0.0028190032445833957,-0.01683644803908213,0.3064283737052308,0.06200720088279288,-1.2122397022379112,NaN,NaN,NaN,NaN,-8.304427876872765,NaN,NaN,NaN,NaN,NaN,-0.44624780537598974,NaN,NaN,NaN,NaN,NaN,NaN,0.25238348225527485,0.012317217725882679,0.024083814408620063,0.18134902768735306,0.3062437355172567,0.31398133848076415,0.21080927358379364,0.09295166593239723,0.45581489853201296,0.04317114963046165,-0.3491133232179213,-3.0146553322373357,-2.661518202729899,-0.5929854340011185,NaN,NaN,NaN,NaN,NaN,NaN,-0.09790950636538032,-0.01440773658021044,NaN,0.12914003393369478,0.5229987364427284,0.5957910487485012,NaN,NaN,NaN,NaN,NaN,-1.64326320254058,NaN,-0.08909187309292688,-1.230799871100725,-0.38802336267701243,-21.598132596279505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.40147899684972266,-0.27260413058198396,NaN,NaN,-0.8261759360713234,0.15612479941072022,0.02270556516809108,-0.024074558465702278,NaN,NaN,-0.5921412518900815,-1.735286664806798,-1.2035164786823138,-0.025241299456697286,-0.1301255857220902,-0.010688496541364279,0.014209223565593843,NaN,NaN,-1.8726451174921777,NaN,-0.14000920666474803,-5.72112815715544,-0.30502434086348695,NaN,-0.05095829834707799,NaN,NaN,NaN,0.010168164718736494,0.2639831435533453,0.02297651112692367,-0.17085879086438194,-0.13321915312696908,-0.053247930124483256,-0.13049942169308304,0.22284027701025155,-0.06738301429905214,0.31885192143511487,0.29701029908286447,-0.1280496799949855,-0.043635827587503284,-0.11983557987126292,NaN,NaN,NaN,NaN,NaN,0.05663258772745561,0.34892191399417205,0.11768264687463814,0.19904213541183435,-24.078710107540108,NaN,0.22464258694561257,0.25524339833568777,0.36661623828593237,-0.574537470362483,0.15186274705342484,0.5100399954198367,NaN,0.29116480419849955,-0.13986292778174914,0.24433640905338205,-0.5313791588615844,-0.13290458734412636,-0.17431522808467026,-1.720384561362068,-0.11854335903428503,NaN,NaN,NaN,0.009605141733953215,-0.09907466883480964,NaN,0.018416473085462348,-0.10474248544131282,-0.03489348035543638,0.34029661269433265,-0.07657492172160896,0.017275499669187067,0.3726545206287779,0.15347229232567794,-0.24653421739772075,-0.3567612453429896,-1.5339836679654844,-0.16085780363223234,NaN
ForVel,G5,NaN,NaN,NaN,NaN,-1.8610113630405731,-1.4922186515903637,-0.6920353983646466,-0.9049998653516134,-1.6372710534756045,NaN,-0.17419765708316826,0.1616466955213316,-0.11226699696762665,-0.34023993447508505,-0.06334417813394477,NaN,NaN,NaN,NaN,NaN,-0.323106222335114,-0.013485570227184773,-0.17661495376789516,-0.35076845815928515,-0.12839260526173235,0.09165809938703395,0.08699478318176412,-0.35891682419006954,NaN,NaN,NaN,NaN,-8.367740073527239,NaN,NaN,NaN,NaN,NaN,-0.47167704652661246,NaN,NaN,NaN,NaN,NaN,NaN,0.20051800952311472,0.06811386746584502,0.18894855802280286,0.15839535679962546,-0.194204989523173,-0.40621707339937463,-0.3459287861729601,-0.7309389373328838,-0.0672595324532379,0.23157707174650388,-0.33749769198996704,-3.1165711972801526,-1.8655301785532101,-0.46721175858831154,NaN,NaN,NaN,NaN,NaN,NaN,0.2747482387910648,0.035598148644805816,NaN,-0.3181101431007911,0.13113459298723162,0.37628393187611486,NaN,NaN,NaN,NaN,NaN,-2.4800174325254267,NaN,-0.322036860411973,-0.9578759409962618,-0.9877853568294743,-24.138240185798832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1615509882248436,-0.3770361031046088,NaN,NaN,-0.48476883210035115,-0.02953613578440195,-0.04654123388987763,0.03342325574467764,NaN,NaN,-0.6343326521711394,-1.9907394145717974,-1.1663021673629368,0.12867736446470912,-0.17138790575579588,0.02015850407381936,-0.005014760238776006,NaN,NaN,-2.3981422189121178,NaN,-0.29343765330110894,-4.041824613885919,-0.2917904883752058,NaN,-0.09062255504190841,NaN,NaN,NaN,0.27470762015716654,0.3023085095242751,-0.021160735254151186,-0.1412591590229213,0.06793859981555184,0.07428194041275704,-0.0968022450597863,0.11499683153729323,-0.062327873055298966,0.030181048601326754,0.3871010101504697,-0.06298855405786075,0.05915686408536147,0.16269972442747294,NaN,NaN,NaN,NaN,NaN,0.06462796058660325,0.5320851159141176,0.08617681272752775,0.11958884583844054,-22.64160449574825,NaN,-0.05007040658115414,-0.0017009339911435717,0.2606428927528627,-0.6859361850587444,-0.014165706687228719,0.2555408209910073,NaN,-0.03823985065058877,-0.2047795954946099,0.13968705668849024,0.1794410022321028,-0.14672912700598628,-0.38735107139106795,-5.228734284826515,-0.24312004413587762,NaN,NaN,NaN,0.040772001152783455,0.09490496802206982,NaN,-0.04383935806813333,0.3070582649942324,0.07874198108036368,-0.1268596570157372,0.45332590885458546,-0.007788158287872271,0.5629007981245384,-0.007967423857462519,-0.7318619136507138,-0.3622150339677006,-1.6323072410917097,-0.1238132642946701,NaN
AngVel,G2,NaN,NaN,NaN,NaN,-2.045407905433132,-1.2280813198172194,-1.0120436715943688,-0.6718296203968981,-2.2165810052106747,NaN,-0.5318592418063097,-0.3868402876169905,-0.1607453325165249,-0.15444942596133737,-0.07066194165412232,NaN,NaN,NaN,NaN,NaN,-0.4923021254085298,-0.22858274669613143,-0.18775697368907274,-0.7277555133114411,-0.5295858254036392,-0.07870111349252795,-0.10238588624765566,-1.0269852551907999,NaN,NaN,NaN,NaN,-4.267886800336491,NaN,NaN,NaN,NaN,NaN,-0.4508424131945503,NaN,NaN,NaN,NaN,NaN,NaN,-0.06278821567054815,-0.08568198619049916,-0.0748529671368725,0.11228346458569916,-0.35340769988899723,-0.6403445647212995,-0.6980842357340842,-0.9151095963545404,-0.2630694030034064,-0.026773598659397324,-0.2952109385147681,-3.395023032260241,-2.7061889581624294,-0.6901254926304794,NaN,NaN,NaN,NaN,NaN,NaN,-0.05621695384581438,-0.14343582178465475,NaN,-0.17304306182413054,-0.4290337333371159,-0.01916539972634257,NaN,NaN,NaN,NaN,NaN,-3.5154025016782215,NaN,-0.3485716372553975,-1.9615870509455768,-1.061147080457193,-32.279954771488406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.049995540889983814,-0.48433202967099387,NaN,NaN,-0.48654090096934266,-0.005101665115527565,-0.07833020469434837,-0.14493218921806217,NaN,NaN,-0.5849793661465441,-2.8606335743058753,-1.0529831510777177,-0.1189685398501732,-0.1864669336079674,-0.10399025975255505,-0.1253431159916285,NaN,NaN,-3.2065861269649263,NaN,-0.44207441545563975,-4.808858237892621,-0.3816797604601423,NaN,-0.11118141964443229,NaN,NaN,NaN,-0.1367447172728593,-0.107010999286141,-0.08802590136132804,-0.16551764863901175,0.07081370887312388,-0.24828853395133876,-0.1705908509341536,-0.1647934377040381,-0.3672187007308445,-0.21396375335175088,-0.0713972327920922,-0.03312796666320428,-0.05997840066587168,-0.18784861528327834,NaN,NaN,NaN,NaN,NaN,-0.22240663732020804,-0.329051022046031,-0.109565444050713,-0.20343357550972696,-25.749474325908558,NaN,-0.0635586998335178,-0.08110347340151813,-0.03179905896349289,-0.5539566302246093,-0.10796075038171171,-0.07256729398827,NaN,-0.03896921106094853,-0.19703232945838312,-0.3396361784994679,-0.7302853658830741,-0.16221542981706505,-0.5276904194643102,-4.37635145385047,-0.40981666547578444,NaN,NaN,NaN,-0.13051655660442996,-0.09809036806223692,NaN,-0.02578264386669904,-0.27456168759683974,-0.16102383392210462,-0.20446784981811605,-0.09304441901879335,-0.16170313128007474,-0.14784074294967775,-0.19272816950959704,-0.9254865856993697,-0.8164527787754121,-1.7642869760602702,-0.4524246615690728,NaN
