BEHAV,DAN,20180124.Fly4.3,20180124.Fly4.2,20180119.Fly10.1,20180531.Fly3.3,20180131.Fly7.3,20180131.Fly7.2,20180604.Fly8.3,20180604.Fly8.2,20180125.Fly3.3,20180125.Fly3.4,20180131.Fly9.3,20170826.Fly7.2,20170821.Fly1.1,20180604.Fly3.2,20180604.Fly3.3,20180604.Fly3.4,20180604.Fly3.1,20180530.Fly3.1,20180119.Fly7.2,20180530.Fly1.2,20180530.Fly1.1,20180530.Fly1.3,20180120.Fly1.2,20180120.Fly1.1,20180120.Fly1.3,20170826.Fly4.1,20180131.Fly1.3,20180131.Fly1.2,20180125.Fly6.1,20180131.Fly8.3,20180131.Fly8.4,20180131.Fly8.2,20180131.Fly8.1,20180119.Fly9.2,20180530.Fly5.5,20180530.Fly5.4,20180530.Fly5.2,20180530.Fly5.1,20180530.Fly5.3,20180531.Fly2.5,20170828.Fly4.3,20180201.Fly3.2,20180201.Fly3.4,20170822.Fly1.1,20170828.Fly2.2,20170828.Fly2.6,20180131.Fly4.2,20180131.Fly4.3
Motion,G2,-0.31404884882149475,-0.3093673650944637,0.09643684477784897,-0.6089398330663824,-0.29190247738367914,-0.21860997391559733,-3.1257235045284872,NaN,-0.11566184369566712,-0.35567104885928225,-0.019294032610710277,-0.27717878623466286,-3.4252711832864655,-0.3241230209798709,-0.1559567601127676,-0.13735958523408076,-0.27982869684043155,NaN,NaN,-0.9177046282081358,-0.36790010560171593,NaN,-0.2871438201834131,-0.20203543108926425,-0.6639011086807636,-0.23496850803285896,NaN,-0.2658491882869931,-0.17154751562677228,-0.6018342803775658,0.03366756947117644,-0.33603897786786896,-0.29278176889456553,NaN,-0.21207077484558123,-0.24449843510069735,-0.19705514881139785,-0.24914604847972233,-0.11738368032475788,NaN,-0.08786959198140853,-0.07679879646724941,-0.6528852188252672,-0.1127583001249588,-0.10467817135548718,NaN,-0.11511313314587945,-0.15412391768978395
Motion,G3,-0.33042967642403864,-0.24890119836471825,0.15882032815072034,-0.8642366406508288,-0.30112114251243405,-0.15830171143424732,-4.022348438653867,NaN,-0.06243956188392685,-0.3119088327988955,-0.07141256798731166,-0.25475428945347467,-3.643128338717645,-0.2662728733925104,-0.29332519473827023,-0.1641769129417212,-0.2244790392366005,NaN,NaN,-0.9162026129233019,-0.18504277847056216,NaN,-0.2269915692510649,-0.2135248063126196,-0.70280504581766,-0.09806486097567024,NaN,-0.35171458694200397,-0.14575828825659864,-0.7687701945632444,0.1787007124443365,-0.29746231234538945,-0.1005068716089843,NaN,-0.259376641003227,-0.29514139293832886,-0.1137182878279932,-0.32615278811892034,-0.1170641889353361,NaN,-0.29748949239385447,-0.05192982525451839,-1.0494385463080427,-0.09455208517812985,-0.15879785318791284,NaN,-0.18535325421134274,-0.07965203485525074
Motion,G4,-0.15301748148481376,-0.38183068226599204,0.050450573315098945,-0.8106886779870537,-0.1632771416269423,-0.14584377551636418,-3.3638461966291713,NaN,-0.2009145555894487,-0.3787768954356081,-0.038575114301502955,-0.17781642326620695,-3.7435667821071448,-0.09941630138638202,-0.34569591109125164,-0.19854593793314246,-0.17616444533411646,NaN,NaN,-0.7719870937535507,-0.15471386249490404,NaN,-0.2862591425683576,-0.218189776430459,-0.8568601380031966,-0.07355940944453487,NaN,-0.3347607756038755,-0.17236977146675558,-0.8611298141693149,-0.2142977235276884,-0.3793521138153235,-0.2437767127374435,NaN,-0.07627713008862202,-0.1622012934193211,-0.25683302190816204,-0.2708151207572176,-0.10211102190134458,NaN,-0.05379368936122875,-0.16613809720623873,-0.5062336122391837,-0.11613479388271153,-0.05786359998700563,NaN,-0.06353833692776245,-0.21274590622222278
Motion,G5,-0.5836223737368054,-0.28444727291220673,0.1881207599278646,-0.8523184894111582,-0.35597796043808416,-0.21582675565251197,-3.7671801469609214,NaN,0.09429478454537155,-0.38997171256019025,-0.06475482781858499,-0.3295300318276053,-5.075544287323305,-0.11562406792586843,-0.31921883858381994,-0.03210293281487564,-0.1960374246273504,NaN,NaN,-0.7389793259493167,-0.23902043822702068,NaN,-0.29574388738322077,-0.2609989389022269,-1.2978608364001962,0.33694144327208564,NaN,-0.24006153266139063,-0.09527886319572554,-0.8370294188167162,-0.022395843130917692,-0.4135152106963895,-0.0031744132061164443,NaN,-0.011196347000869356,-0.19670517874591376,-0.22053118861531606,-0.08297930235723161,-0.1507701220737243,NaN,-0.08070782022384582,-0.06178833675290396,-0.9904012230550459,-0.01146019721450342,-0.05638967774668302,NaN,0.055053561591059674,0.04947530070985351
ForVel,G2,-0.5540141787790382,-0.03618240814959117,-0.06996670585677922,-0.6415010043451324,-0.08729692694222546,0.05884815561447754,-2.1449202530011373,NaN,0.07836379746849098,-0.0008357992782441759,0.37694618314515516,-0.24574149461913963,-3.209497463784757,-0.01625201637303353,-0.2030635182800744,0.027350272909995144,-0.06201574143958921,NaN,NaN,-0.4083305032047868,-0.38240692858075187,NaN,-0.38046873589709174,-0.12198284306350571,-0.27717418788082715,0.2498333444351284,NaN,0.002802678759957433,0.10766084065138914,0.12220272432694645,0.12745984896445772,0.22963707166708847,-0.15257137963372802,NaN,-0.0431951139847897,-0.13106981571321485,-0.003043228661196107,-0.07553719899990119,-0.03257981751191119,NaN,0.05413448986956171,0.08854056548679701,-0.5642676090326753,-0.10496454621215512,-0.017295656074396426,NaN,-0.01428817106168867,0.09030498159070421
ForVel,G3,-0.32003452827955403,-0.13989083037036054,-0.16597934203675146,-0.7191070495098719,0.09789290959273156,-0.15441937226901747,-2.6172068406094384,NaN,-0.18562056042778852,-0.031470528694990785,-0.05311151620724863,-0.2567570889544528,-1.993939353898217,-0.18445554566798772,-0.36432125796292447,-0.077300431257181,-0.3365734033378409,NaN,NaN,-0.8548209450305866,-0.3123877709590235,NaN,-0.15323232996466185,-0.09447735044029315,-0.3457493306265176,0.07539986611581706,NaN,-0.398141464060358,-0.07065173828066729,-0.5401084254401904,0.18750880038122075,-0.2241298892556165,-0.2073158203154326,NaN,-0.19764279853034195,-0.22151880961432768,-0.1333882034680698,0.08080260187858546,-0.05912069733112091,NaN,-0.23249154744670708,-0.012403195846157011,-0.9591397626089408,-0.031741857037938415,0.13151613483956515,NaN,-0.13030154563602014,0.05552075912009191
ForVel,G4,-0.17755061730725807,-0.1002603092596035,0.22253973167544472,-0.2889559445177363,0.07816424452366766,-0.07399349300747882,-1.76793167088411,NaN,-0.007318706646567197,-0.17027963647680067,0.41948406972431507,-0.03596393200428216,-4.7153740750387385,-0.088171848558797,0.042219063897630194,-0.01101157956952492,-0.16836640322250673,NaN,NaN,-0.40980227045635265,-0.25237589487944456,NaN,-0.303540670020477,0.01868006021064139,-0.5838440373609177,0.21673040642948893,NaN,-0.07754255649358344,-0.07619931526847545,-0.46462996048862215,-0.03400026266595768,0.08682071268821401,-0.21422842796471242,NaN,0.01865739404326483,-0.05010617269653128,0.01458237595504408,-0.01354075255087328,0.10548826538461009,NaN,-0.19081189106969965,-0.0911936130102613,-0.6513076919678444,0.10838487133320218,0.12598917355013173,NaN,-0.11031364375486752,-0.08434035762849579
ForVel,G5,-0.48934285885666173,-0.17902586536098153,0.061484722009009896,-0.927866466334957,-0.02307170612458509,0.019105044160998452,-4.662802687620923,NaN,0.042975110584964726,0.07376156835980574,0.2346667230980567,-0.2892987994711882,-4.329947285209396,-0.28092885048454486,-0.3122383556789703,0.03147619548807923,-0.196217127741648,NaN,NaN,-0.5833742132845046,-0.37669192167757415,NaN,-0.2663358830457059,0.04964353924362708,-1.342897179507971,0.47415187930183467,NaN,-0.15260565413351634,0.1942735057345295,-0.5135712142271183,-0.1425727500849705,-0.13822109489481482,-0.037703924970206026,NaN,0.09508528945104866,-0.1097483043713694,-0.05335489039856767,0.0878952388482086,0.02414886221162038,NaN,-0.023379361520407427,0.04766827794521766,-0.6958785613720391,0.2819280309038007,0.24159648347050855,NaN,0.05100663149879947,0.14389227539766725
AngVel,G2,-0.6003859647892926,-0.34584922464293877,-0.20374799841342073,-0.8069230465991915,-0.19643200931093574,-0.2812328210460502,-3.9362806315914156,NaN,-0.16667468789588602,-0.3163036292104926,-0.05521281865094929,-0.15760912641319735,-3.363865169239838,-0.5273656945864609,-0.3131719993525415,-0.1898110813381162,-0.3951935581549475,NaN,NaN,-0.9212183239118648,-0.26060305316309074,NaN,-0.27897298387836345,-0.23002612251095877,-0.8440648386495426,-0.06945694557329518,NaN,-0.1640217762381082,-0.22368930158150957,-1.1241731969966708,-0.06952934931503574,-0.4055762155906981,-0.29264637030382823,NaN,-0.2155952372691492,-0.2497875916856087,-0.1836184194320165,-0.1990900251047465,-0.151153129241842,NaN,-0.21815330437472813,-0.264845110767606,-0.9376368141772407,-0.0754377622741429,-0.018526115365885776,NaN,-0.17476281559925533,-0.18146165902518963
AngVel,G3,-0.42803265271096547,-0.34440803637432094,-0.16522260683574497,-0.8437678422199968,-0.27325013886867855,-0.24092720938374868,-4.5432118913730175,NaN,-0.18382617385791034,-0.2948560174426389,-0.16356684485086337,-0.09755686722241275,-3.0025234875015396,-0.4952984102824396,-0.4107487790478612,-0.2399261078918724,-0.2744477854530065,NaN,NaN,-0.8993724984871725,-0.42186813070303364,NaN,0.271507295425537,-0.2076252870473163,-1.0498632851870742,-0.2671683961521065,NaN,-0.15619875149645268,-0.22498229728614505,-1.0154200738989498,-0.12972307277494965,-0.3921737732686337,-0.29781918880970815,NaN,-0.1540352451283924,0.05592848127874506,-0.24983233214831357,-0.32669579068347754,-0.13717305365173393,NaN,-0.2595964461477691,-0.23688981572784384,-0.8818401138336665,-0.036494445115715424,-0.024360848447664285,NaN,-0.2717815416412883,-0.32666240251922485
