Start,Stop
0,5.9833
11.617,14.3
17.233,17.967
23.65,24.267
25.2,25.467
26.783,26.817
27.917,28.683
29.183,31.883
33.4,35.55
46.05,46.083
47.217,51.25
54.133,57.733
58.767,58.8
59.483,60.483
62.233,64.8
65.4,65.533
68.5,70.367
71.183,72.367
73.35,75.75
76.3,77.883
78.95,80.817
82.367,82.683
83.383,84.9
87.15,88.083
89.167,90.633
91.533,92.3
95.833,96.283
100.07,100.48
101.18,101.22
102.22,103.98
108.52,108.8
109.35,114.12
115.85,116.18
117.08,118.65
119.88,120.48
121.25,121.28
127.68,128.47
129.45,129.62
130.22,131.25
133.92,134.48
135.6,135.83
136.48,136.52
138.82,139.07
140.78,145.52
146.07,147.33
147.85,148.4
150.08,152.67
155.28,157.6
159.18,159.32
160.45,166.08
167.38,167.77
168.63,169.33
170.87,172.22
173.85,174.07
175.1,180.57
181.55,182.05
182.7,182.98
185.47,187.05
187.65,188.33
188.88,189.58
191.45,192.15
195.23,195.5
196.15,198.28
199.05,199.68
200.68,202.15
205.13,205.85
207.8,209.18
210.58,212.3
213.58,214.73
215.8,217.62
218.12,218.57
219.47,219.93
221.8,222.72
224.45,228.5
229.33,235.93
238.33,239.47
240.47,242.05
242.67,245.45
245.93,247.15
247.95,248.48
249.27,249.73
250.38,253.9
254.58,256.47
257.05,262.13
263.38,263.42
264.23,265.45
266.28,269.5
270.28,273.3
276.98,278.67
280.72,280.75
281.23,282.23
283.28,283.67
285.25,286.55
288.63,289.23
289.72,290.17
291.92,293.6
296.73,301.6
302.38,302.55
