T1,T2
7.9833,8.4833
17.6,18.1
26.85,27.4
29.067,29.8
31.783,32.383
34.183,34.95
39.617,40.1
42.333,43.167
44.817,45.483
49.083,49.567
51.167,51.867
56.5,57.233
62.667,63.267
67.483,68.017
69.767,71.217
73.883,74.417
76.233,76.983
81.467,81.967
91.233,91.783
93.183,93.717
95.517,96.2
99.883,100.42
116.03,117
121.55,122.58
124.32,125.27
129.57,130.18
132.13,132.7
136.37,136.87
146.93,147.65
149.27,150.08
151.83,153.67
167.43,167.98
181.53,182.08
195.42,196.1
206.32,206.85
212.17,212.73
217.28,218.2
230.15,230.78
237.6,238.22
240.15,240.63
242.92,243.52
247.48,248.02
252.22,252.92
259.18,260.22
263.95,264.6
266.57,267.17
268.95,269.48
271.27,271.8
276.3,276.9
278.88,279.48
281.12,281.73
283.33,284.03
