T1,T2
3.4667,3.85
6.2333,6.4167
7.25,7.65
11.7,11.933
13.05,13.45
16.25,16.5
20,20.417
26.017,26.367
32.733,33.1
36.417,36.75
37.55,37.75
48.15,48.55
49.567,49.933
52.7,53
53.883,54.3
58.467,58.7
63.8,64.2
71.933,72.217
74.5,74.983
76.933,77.233
81.167,81.4
86.95,87.417
103.57,103.85
118.52,118.88
125.92,126.25
134.38,134.6
135.35,135.57
139.37,139.6
144.27,144.53
151.65,151.87
154.5,154.77
156.07,156.27
164.1,164.48
166.72,167.12
182.7,183.03
197.88,198.08
198.47,198.88
235.87,236.28
241.62,241.97
244.62,244.88
260,260.43
262,262.38
273.22,273.5
277.82,278.25
279.93,280.23
282.15,282.45
288.52,288.75
290.8,291.08
293.55,293.77
