Start,Stop
6.3333,10.383
10.95,13.317
13.867,14.767
15.383,18.833
19.567,22.483
25.017,28.4
29.05,29.083
31.75,34.533
35.317,40.15
41.983,45.767
47.783,50.433
53.167,63.15
65.233,68.133
69.017,71.3
73.833,83.067
83.8,83.967
85.4,89.8
91.3,93.9
94.8,97.983
98.817,99.3
100.42,108.28
109.13,109.17
110.23,110.28
110.95,113.9
114.87,115.95
116.77,123.03
125.43,125.47
127.3,133.68
135,135.03
136.83,139.3
139.95,142.45
146.68,152.68
153.52,156.38
157.05,157.2
157.8,158.28
158.92,165
165.6,169.05
171.12,172.87
173.55,176.95
178.85,178.88
179.85,183.12
183.68,185.3
187,190.68
191.75,191.8
192.42,192.52
193.58,194.33
195.05,198.32
198.92,198.98
199.65,203.4
203.92,203.95
204.75,204.78
205.47,208.25
209.02,211.77
212.73,213.65
214.2,214.63
215.97,225.37
227.57,233.42
234.1,234.13
235.07,241.92
242.63,243.67
244.7,249.4
249.98,250.65
251.67,251.73
253.05,259.58
260.83,260.97
262.17,266.55
267.48,268.27
269.03,271.78
273.13,280.97
283.35,288.8
290,291.52
292.08,292.33
293.75,297.27
298.93,302.32
