Stop,Start
2.0667,2.7
4.1333,5.4166
5.8,12.35
13.7,15.167
19,23.4
27.433,28.65
30.716,31.466
34.183,38.366
44.583,45.166
45.55,47.883
50.733,51.8
53.95,54.583
55.433,56.333
62,67.15
70.55,71.133
74.1,74.666
78.399,80.533
84.133,90.266
98.399,104
107.1,107.88
107.92,112.05
115.62,117.38
126.8,129.9
132.28,133.43
136.43,137.23
138.12,138.65
139.42,139.97
142.42,145.02
148.97,149.83
151.82,157.28
160.98,162.3
165.18,166.27
167.82,168.67
168.7,172.65
177.92,182.02
187.2,188.25
188.42,192.6
197.22,202
210.38,211.33
211.37,213.18
219.07,220.37
220.47,222.08
224.75,225.27
225.8,226.28
226.32,226.8
226.83,229.93
236.53,237.33
237.98,239.53
241.38,245.5
248.98,250.15
254.28,257.33
259.85,260.41
262.76,263.66
263.7,264.2
266.46,269.78
275.98,276.6
280.08,280.65
282.35,283.31
284.43,285
286.13,289.28
291.08,291.93
293.48,297.3
301.88,302.43
302.46,304.5
