T1,T2
2.9167,5.9167
6.4833,10.2
10.817,15.017
15.833,34.183
36.483,49.033
49.967,56.817
58.15,63.967
64.9,69.617
70.217,72.233
72.883,77.483
78.233,84.75
85.35,91.183
94.533,105.38
106.2,114.27
116.08,123.85
125.78,133.13
133.93,135.02
135.67,136.22
136.9,144.68
145.35,153.77
154.67,159.73
160.5,162.73
163.37,166.87
169.55,175.12
176.75,177.15
178.95,185.12
185.63,195.32
195.98,199.08
199.58,203.65
204.65,207.53
208.07,218.22
218.88,224.05
225.27,232.42
233.05,241.45
242.18,250.92
251.6,255.63
256.47,262.4
263.12,268.07
268.85,271.47
272.48,275.9
276.57,280.6
281.75,287.88
289.12,296.32
297.08,299.87
