T1,T2
0,5.7663
7.3495,7.3828
8.8327,15.932
16.882,17.115
18.099,24.232
25.048,25.198
26.198,28.015
28.615,29.315
30.048,31.498
33.198,33.231
33.714,34.981
35.497,37.914
39.464,41.414
42.43,58.379
58.912,60.012
61.146,61.912
62.445,66.679
67.212,68.045
77.411,82.527
83.694,84.977
85.51,89.394
89.977,93.327
94.343,95.726
96.36,100.29
100.86,105.76
107.43,109.23
110.49,120.39
121.06,121.09
121.74,138.94
140.36,142.64
143.22,156.42
157.51,173.47
174.85,186.77
188.09,205.37
205.85,208.65
209.28,219.55
220.37,222.57
223.05,230.82
231.47,249.8
250.58,251.18
254.53,254.56
259.8,262.66
266.26,267.15
272.28,273.03
274.1,278.41
280,283.5
284.11,287.3
287.93,297.31
