TRIAL,G2_G3,G2_G4,G2_G5,G3_G4,G3_G5,G4_G5
20180124.Fly4.2,0.6866562108223151,-0.6978942034924573,-0.06867360518294718,-0.29473259200859103,-0.03400461580931299,0.06647698740885719
20180131.Fly8.4,0.44594936882060615,-0.6121195349926946,-0.4263345156911082,-0.1648779074853738,-0.07029275331562,0.34527885578130324
20180125.Fly6.1,0.6019704286048928,-0.6086741642043343,-0.09550513563631975,-0.23342978935971895,0.4104245801447134,0.3523208713591159
20170828.Fly4.3,0.3267253147688249,-0.6281825047736502,-0.2802622581865967,-0.36792426505879566,0.175954713737503,0.3460524258406851
20180131.Fly7.2,0.401398342309068,-0.6243405818119864,-0.23791005398584994,-0.07059468249874322,0.24422954618546533,0.4559774655337124
20180120.Fly1.3,0.5416147792469828,-0.7980109718393398,-0.2952752168401742,-0.3025543672414115,0.12536035654052272,0.3949652768865661
20180119.Fly7.2,0.022269231363547113,-0.5384638109079085,-0.15946575147516256,0.18020754133647648,0.43021652919089265,0.5449761355600276
20170826.Fly4.1,0.4500589195329258,-0.47542040353977505,-0.05326134176901968,0.056158904896657084,0.5407976663183621,0.5431935114900203
20180119.Fly9.2,0.2001839935996579,-0.6086530440011433,-0.3016175427291011,0.16066456489825737,-0.024527888201513748,0.4875255323113926
20170826.Fly7.2,0.5850086030243072,-0.2648741898674849,-0.07233906799998284,-0.20797714387511773,0.1534177533395921,0.1209757820322108
20180201.Fly3.4,0.21455228537004747,-0.7217307244817237,-0.3294759994027945,-0.018805105679181398,0.19187918038635626,0.3886727187267184
20170828.Fly2.2,0.49781685330676584,-0.5333515882048897,-0.2155722538776503,0.049626383232485916,0.21957119442773562,0.6074859092359429
20180131.Fly4.3,0.2233128807884727,-0.7631996718199323,-0.412289926268946,0.009293654127020993,0.33759178088091474,0.4729006865730606
20180120.Fly1.1,0.5991715377210192,-0.36095769804519434,0.12241770888183329,0.137083589824663,0.4632953105214759,0.6786246056361543
20180131.Fly9.3,0.5150600768050696,-0.7757055371266386,-0.6494783570014608,-0.299811780569776,-0.1574507677332294,0.8511049506804952
20180125.Fly3.4,0.1771521699599271,-0.5578529205228993,-0.4777330407931317,-0.10888980181162053,0.08721626928336648,0.528839128832338
20180131.Fly1.2,0.35495370860561865,-0.7207940366137144,-0.29069273563893766,-0.07580281207926245,0.13666959722317112,0.5246513826188673
20180131.Fly1.3,0.5115479297305958,-0.6941710981951653,-0.4259127957822317,-0.12663857470487377,0.03426796197787874,0.5528542071544489
20180124.Fly4.3,0.6158372130450945,-0.6496275871105374,-0.06712854917964403,-0.3309123716710153,-0.0009306966694879844,-0.017171602864699514
20180131.Fly4.2,0.4560390740384552,-0.7208406974934188,-0.17265770146256412,-0.2658931010921355,0.2331474731916167,0.387404707667041
20180120.Fly1.2,0.4506814148458088,-0.7686229910438408,-0.17300051922220083,-0.26096921058183653,0.27327431206352415,0.28680202789931386
20180119.Fly10.1,0.8053276905634182,-0.06658811206510311,0.22173076654699964,0.1738060440726486,0.5213954610872417,0.7311382305695205
20170822.Fly1.1,0.6954894805820988,-0.03311960111979487,0.0837537170437402,0.03222164495294051,0.2650383809658002,0.5112968571437978
20180201.Fly3.2,0.1566399646441837,-0.5440583667621868,-0.3599162514056368,0.09196463439798974,0.11826668747883085,0.5933201204121716
20180131.Fly8.3,0.3146815951599973,-0.4778170768449537,-0.46547813057277243,0.09596467814042287,0.07541447557965467,0.5160180562865394
20180125.Fly3.3,0.5258890410850651,-0.46066517754193104,-0.056222897760288666,-0.08539069538395455,0.2261744771117431,0.32408725346833533
20180131.Fly7.3,0.3511300090514974,-0.6924561143643333,-0.3773042601515306,-0.0005630902463549825,0.24688607767344184,0.4764972608805054
20170828.Fly2.6,0.14629665397670322,-0.3895604870295815,-0.21721574936855895,0.6665241262497598,0.4702133841953573,0.6534453572137194
20180131.Fly8.2,0.3501444865525378,-0.2679807666263833,0.025417282748070542,0.27112817089571395,0.3843053914026551,0.6830991762866494
20180131.Fly8.1,0.25175693182769193,-0.7882668505993594,-0.3985492152720244,-0.2601991011414458,-0.19062572278344866,0.3599594741738427
20170821.Fly1.1,0.18940130079975478,-0.6806896782996106,-0.2561810036499949,-0.037731381948570765,0.39328966602462956,0.4912231121188285
