TRIAL,G2_G3,G2_G4,G2_G5,G3_G4,G3_G5,G4_G5
20160628.Fly3.2,0.8038057891070592,-0.40885486866002596,0.2507058232164016,0.26977576844691387,-0.13521813429641472,0.718778163319191
20160525.Fly6.2,0.5078668729696032,0.0019650496080403485,-0.19120635668952515,0.13628444209583285,0.18412881882406318,0.461914576320721
20160524.Fly4.1,0.6547690468378257,-0.2796295927200826,0.24141536897584817,0.20813701495462902,0.05160274069822106,0.735442501738608
20180413.Fly9.2,0.5120701373943226,-0.675016847672741,-0.16392209352046258,0.23768088668792747,-0.023797499891669165,0.010098342916490524
20160628.Fly1.4,0.6895565250668033,-0.12931851716757992,0.13992395578433067,-0.05168468978596637,0.1545072053011461,0.57419029084726
20180305.1.1,0.20951472514295955,-0.6564525040288999,-0.3615143389610428,-0.08332493766415924,0.31596128280403313,-0.0819308182166635
20180402.Fly1.3,0.5166431778470895,-0.5450870019145887,0.015483623096912586,0.437027632731971,0.1713278253456162,0.3588310214176027
20160525.Fly1.3,0.6587145144271038,-0.373364052564815,0.08046539385005537,0.18031388305819135,0.3602834199501248,0.5378087141389306
20160205.Fly7.3,0.5286082102823156,-0.6270231256094092,-0.04085570932248204,0.5683559438500074,0.034186590538069626,0.4866985507191561
20160118.Fly1.2,0.7413381595231633,-0.6504808590389008,-0.04520163947890698,0.6075276635734597,0.16484495496308335,0.31005814673050536
20160525.Fly4.2,0.6212903541013924,-0.7769453441434238,0.5416711970004728,0.7493480188702288,-0.3639044275700786,0.6387860170551526
20160210.Fly3.1,0.6438007868821581,-0.5064216550656095,0.15317689989665667,0.4134295499476158,-0.03911564202908782,0.5593422070007709
20160201.Fly2.5,0.7027754347171414,-0.544679752036471,0.005652377811156327,0.46109672037334465,0.10886102192874518,0.3650985827969927
20160210.Fly3.2,0.5296487105898723,-0.6668624253184651,0.11606542972633277,0.5011444195366279,0.05742890262611071,0.2796008465144307
20160211.Fly3.2,0.7035045155173685,-0.30198402816773356,-0.14549761992549762,0.5949118188041106,-0.05136292577598518,0.4103735096779986
20160201.Fly2.7,0.7879984654704209,-0.47248488989180243,-0.04136144697410254,0.6438191830427247,0.0644244443087814,0.48460216052275384
20160203.Fly8.1,0.7933176054995186,-0.321493012517566,0.07254307676545481,0.2794795578392701,-0.13652584543697482,0.2955726650801215
20160205.Fly8.1,0.517709825037962,-0.5414966363428826,-0.004936610380372141,0.5433746793612411,-0.04116226846272238,0.5288969228772349
20160524.Fly2.2,0.4859213351885862,-0.513601189189022,0.16935876982720657,-0.04229864384458901,0.35239115693430473,0.5139574915676717
20160211.Fly3.3,0.7468706597622441,-0.5001561820746392,-0.10112585613060496,0.6716525702039989,-0.015335600769540358,0.21666329501964335
20160211.Fly5.1,0.6637713101653603,-0.4670237781247934,0.0012103570925197445,0.4312881671252529,0.07893608990347109,0.31768309104891385
20160525.Fly2.2,0.35706836699315087,-0.3947591036878188,-0.11820896424602939,0.08225575992047215,0.04463220422130904,0.29512885269662675
20160614.Fly2.1,0.6240708497875415,-0.6000458800408364,-0.2439577726967262,0.43762533846005386,0.3514598485150676,0.2693365548410883
20160118.Fly4.6,0.619707101952504,-0.4772910975947079,-0.09743548169881983,0.5439856212010971,-0.14787891079904664,0.22895668236090402
20160628.Fly5.1,0.7670806841356957,-0.10109147155378573,0.04505254308461068,0.18182327454646338,-0.049964890076420035,0.5691856555333916
20160531.Fly2.3,0.5490400481804639,-0.4602771968982297,0.09366739179942307,0.5610423714290461,0.11380512522510017,0.23435125849522362
20160531.Fly2.1,0.5260380809373049,-0.12801569048203368,0.15097681820960027,0.44764778497826907,-0.16844198669897759,0.6082441383417704
