TRIAL,G2_G3,G2_G4,G2_G5,G3_G4,G3_G5,G4_G5
20170826.Fly7.2,0.5494823347228014,-0.17331015909599568,-0.159911322347256,-0.10055699737861316,0.23972492353938973,0.13026301835778414
20170828.Fly4.3,0.16558575576169107,-0.5074428019806235,-0.1462416911233053,-0.3009580190590564,0.35267039883341406,0.3020593172708244
20180131.Fly4.3,0.38591849459819433,-0.6953888695359403,-0.2749469716943565,0.1634040806256383,0.4022845554669636,0.15480035226218328
20180131.Fly1.2,0.41306297963462885,-0.678506456685512,0.031613859193231605,0.16202862523421305,0.16601642813250847,0.40897429357213
20170821.Fly1.1,0.1774440703114515,-0.6230189829534495,0.027757436047422444,-0.11952067284379615,0.43624409282363313,0.4381547915987901
20180120.Fly1.3,0.5166141922068807,-0.7336034019757264,-0.12864387975956626,0.15728944753165036,0.28371937946108844,0.2001279499090647
20180120.Fly1.2,0.39302835473161435,-0.7013421443169787,-0.09126816387455372,0.03672085919592606,0.36939048482781234,0.203816975101655
20180131.Fly8.3,0.42531910071637613,-0.38384820077032283,-0.3380147358941061,0.17882772414859846,0.18688103343121276,0.3258959826797589
20180131.Fly7.2,0.4441578915636267,-0.5721559583604813,-0.09141069241517293,0.09960533158803629,0.29963905346360226,0.34136174592897367
20180131.Fly1.3,0.5883910202287098,-0.6276626085536697,-0.1669069155372365,0.27856253845596046,0.19868591645808933,0.30325233013817615
20180201.Fly3.2,0.2604357854057886,-0.4692742499882546,-0.06167842490965892,0.1457708379045034,0.09238421556504778,0.48822334806903184
20170822.Fly1.1,0.6964190174510299,-0.005668586045881831,-0.12103228664276826,-0.08349262222531689,0.29065403045051985,0.5204887231109971
20180119.Fly7.2,0.10415519113352001,-0.5211294197303822,0.12309614907373098,-0.05170806291362742,0.38741963368071297,0.5056286301138598
20180120.Fly1.1,0.5872978641319239,-0.5675799436643449,0.2724715427370281,0.15392149352965623,0.22372378152147052,0.6996497424388877
20180201.Fly3.4,0.3086674332000788,-0.6767994706054005,-0.14432802274027418,0.12677979023149977,0.24302146930612895,0.19027269056209078
20170826.Fly4.1,0.47052780495829943,-0.45225524940511685,-0.05927826053617599,-0.044902950178486715,0.543078259074857,0.506497643461293
20170828.Fly2.6,0.5898722219340689,-0.5920878945789511,-0.011046526283663817,0.6326073549054755,0.10548591960249516,0.4114104946866454
20180125.Fly6.1,0.5936264366647251,-0.48780390155279524,-0.23725175304218962,-0.021831039138695656,0.5493505840617438,0.31158257527564853
20180131.Fly9.3,0.4481610648914136,-0.4822059326710378,-0.09042411673014739,-0.022452874842557653,0.19276526341848754,0.6799245062901017
20170828.Fly2.2,0.6044088281505168,-0.5539760100480428,0.012762592171002712,0.26682318683585715,0.16911020994801682,0.5073327172694797
20180125.Fly3.4,0.2082890937342472,-0.3872032844881637,-0.27009404100076745,-0.08574608105314764,0.19473658221721024,0.3565316157880088
20180131.Fly8.4,0.41984840323066736,-0.5274110938456572,-0.2924921211226725,0.09326107569984814,0.12386423732219892,0.12020445704905208
20180131.Fly4.2,0.34327115014088877,-0.6493899268702612,-0.0144630528475034,-0.06505260907227957,0.321327420137908,0.3463625314544634
20180125.Fly3.3,0.5294138017678574,-0.4457045689859657,-0.08798450565092038,0.09287431119015069,0.24521737644282965,0.28142841442688105
20180124.Fly4.2,0.6881817079641271,-0.7020199102743425,-0.04371857408840676,0.3440481537834964,0.021508904477764716,0.01973670840351139
20180131.Fly7.3,0.5197588761322499,-0.6475170055399464,-0.24449471008713639,0.24703360326296078,0.3575442014815473,0.20142285327439677
20180131.Fly8.1,0.06927941992300264,-0.739973768021162,-0.1586690074723526,-0.08033479107677502,-0.0765089459943659,0.10939826199065374
20180131.Fly8.2,0.35315375916741404,-0.42851242197123085,0.19336173637847132,0.16966265042630704,0.18193517003939633,0.6470623686797313
20180119.Fly9.2,0.36635086666081024,-0.6092564669576286,0.0172201871126249,0.3434537328372248,-0.09964361461070971,0.39794722343010847
20180119.Fly10.1,0.7885473048248454,-0.11548548355161256,-0.15806860340458515,-0.12707981962058745,0.4659233444265362,0.7325953674240032
20180124.Fly4.3,0.5650131166252349,-0.6065546357387928,-0.12137690956411458,0.1344931290342988,0.06989363896270473,-0.08535572892719731
