T1,T2
8.45,13.05
13.9,17.533
22.25,22.283
23.317,25.483
26.083,30.433
35.983,42.917
47.05,53.183
54.35,54.383
58.2,61.717
62.35,62.383
63.417,63.45
65.417,72.433
73.083,73.117
76,76.05
76.967,81.167
81.683,82.683
83.617,85.117
85.7,85.733
87.067,87.1
88.75,88.983
89.817,98.667
103.6,107.25
107.83,113.9
114.53,114.57
115.62,115.65
118.23,122.17
122.77,122.8
123.37,125
126.42,127.85
129.48,133.67
134.23,134.67
137.7,137.73
138.63,140.63
141.15,145.35
145.83,147.55
152.78,155.97
156.65,161.38
162.4,163.15
165.27,165.3
166.97,169.75
170.73,172.25
173.35,176.75
177.63,180.58
181.53,186.23
187.7,187.73
191.22,193.35
195,195.03
195.82,197.63
198.22,199.3
199.83,199.93
202.52,202.55
203.58,210.12
210.63,219.33
219.98,220.02
223.88,234.73
236.25,236.28
237.57,238.13
238.87,244.57
247.17,247.2
249.07,250.85
251.35,261.07
261.68,261.98
262.47,268.18
272.78,275.1
279.7,282.75
283.4,289.05
289.53,289.57
290.73,290.95
291.77,295.37
295.88,297.8
298.33,299.58
