Start,Stop
8.1833,8.2333
9.4167,9.45
11.133,12.3
13.25,13.283
15.3,15.4
17.35,17.383
19.75,19.783
29.1,31.267
42.033,43.267
44.9,44.983
46.633,47
47.617,47.65
50.95,50.983
51.633,51.667
52.533,53.6
54.733,54.767
57.1,57.133
67.3,67.333
68.467,69.917
71.867,76.167
77.517,77.55
78.833,78.867
79.8,80.1
80.867,80.9
82,86.517
89.133,89.167
95.483,95.517
96.667,100.07
105.17,108.53
109.25,110.25
112.42,112.73
114.33,114.37
114.87,114.9
115.8,116.43
116.97,124.17
125.38,129.38
131.27,140.17
141.33,144.93
145.42,145.9
146.5,146.53
150.68,154
154.78,158.97
159.48,159.6
161.18,169.93
170.53,173.02
173.53,177.7
178.52,178.62
182.52,184.85
185.55,185.58
186.27,186.95
188.5,189.12
191.18,191.22
191.77,192.07
192.95,193
193.62,193.87
195.23,195.7
196.72,198.85
201.62,201.65
205.58,208.8
210.42,210.45
213.53,213.92
217.38,217.42
219.2,219.23
220.08,224.83
225.4,225.98
227.03,227.58
228.23,229.82
230.73,231.93
233.17,233.27
234.28,234.32
234.98,235.02
235.68,235.72
237.02,241.43
242.98,243.43
244.15,244.93
245.83,253.43
253.98,254.15
254.83,255.52
263.77,263.8
264.37,270.33
271.27,271.3
271.9,272.32
274.92,276.63
277.6,280.93
286.42,288.07
288.57,289.4
290.12,290.32
290.82,291.05
292.12,295.37
296.37,296.4
