Stop,Start
3.2833,7.2333
9.2167,9.8167
11.667,14.2
21.083,23.483
27.833,29.883
31.967,34.367
34.717,37.133
40.883,42.783
43.433,46.35
52.3,53.45
53.483,54.367
60.7,63.4
65.483,66.3
69.067,69.8
70.283,74.05
74.7,76.083
81.883,82.783
83.4,85.767
90,92.15
95.267,97.883
98.2,98.933
99.933,101.33
103.47,104.3
105.48,106.68
108.35,109.48
111.28,112.27
114.2,116.32
120.42,121.43
121.67,126.47
130.85,131.5
131.83,132.72
136.62,138.82
141.67,142.62
143.12,145.18
147.7,150.65
154.6,155.28
158.52,160.88
161.63,162.25
163.15,165.1
165.58,166.4
166.43,166.92
169.8,172.25
174.83,175.33
181.92,182.57
183.82,185.97
188,188.73
189.25,191.6
191.63,192.37
192.78,193.98
198.28,200.58
204.27,204.77
205.03,205.68
212.53,214.17
218.47,220.73
221.38,222
225.55,226.93
231.38,233.53
238.33,239.1
241.27,242.07
243.3,244.7
250.68,251.48
254.73,255.3
255.58,256.15
256.93,257.85
260.47,260.97
265.68,267.03
267.52,268.92
270.13,271.88
275.4,276.62
279.08,282.73
285.13,285.73
285.77,287.05
287.65,289.55
289.98,290.77
298.65,299.78
300.48,301.92
301.95,302.45
