Start,Stop
7.6667,7.7333
8.2167,16.317
17.433,21.633
23.067,27.983
28.6,29.283
29.883,32.533
33.033,35.817
41.733,44.283
45.083,46.517
47.183,47.267
47.75,52.933
57.15,61.7
62.567,63.1
63.633,69.767
70.267,73.55
74.183,75.617
78.617,81.05
83.983,84.083
85.3,86.133
88.417,94.5
99.667,110.43
111.1,113.22
113.8,116.1
117.4,119.85
123.37,126.13
127,127.38
127.87,132.72
133.3,133.93
134.75,136.17
136.7,137.97
138.75,138.78
141.07,147
147.67,149.87
150.73,153.9
155.05,157.33
158.35,160.87
166.12,171.07
173.62,181.23
181.98,187.6
188.42,189.65
190.17,191.27
192.2,199
201.6,203.78
204.53,206.88
207.73,211.85
215.37,219.68
220.17,224.57
225.28,237.05
237.82,238.55
241.6,253.03
253.67,254.63
255.45,260.02
260.92,266.12
267.12,270.6
271.65,280.07
283.88,293.47
296.63,297.92
