T1,T2
9.8334,10.267
11.417,11.783
12.817,13.1
15.8,16.017
18.967,19.284
23.234,23.584
25.934,26.284
27.034,27.334
31.167,31.384
38.584,38.85
41.05,41.517
45.9,46.167
49.234,49.617
57.551,57.951
62.701,62.917
71.934,72.367
74.851,75.167
85.617,85.934
200.79,201.25
202.45,202.92
204.72,204.99
208.62,208.97
213.92,214.27
216.34,216.67
219.87,220.2
221.3,221.55
225.92,226.27
229.49,229.89
233.74,233.89
240.14,240.42
245.1,245.44
246.59,246.92
248.74,249
251.52,251.77
257.72,258.07
262.67,262.89
265.7,266.09
267.65,267.94
270.82,271.14
279.17,279.37
280.32,280.64
288.4,288.74
290.94,291.17
295.5,295.8
297.55,297.87
