Stop,Start
5.5998,9.4663
12.666,14.533
16.799,17.983
22.066,22.982
25.899,26.949
28.232,30.549
30.582,31.149
36.582,40.282
48.481,50.731
73.197,77.147
86.463,88.463
91.863,92.813
108.05,109.51
109.55,110.05
110.08,111.08
113.93,114.5
116.76,118.73
118.76,124.61
130.41,131.99
132.03,133.58
136.16,136.93
142.63,143.43
149.33,150.59
160.54,162.23
162.26,163.49
168.31,169.31
172.96,173.79
179.51,180.03
186.76,189.23
193.99,196.86
203.29,204.48
204.51,205.21
205.24,207.14
213.78,215.71
224.89,225.47
226.07,226.56
234.59,235.19
236.46,237.02
242.46,243.12
245.49,248.52
248.92,249.46
255.49,257.29
264.16,264.71
265.01,266.79
273.29,274.62
278.11,278.89
286.47,287.97
291.39,295.54
301.96,302.57
