Start,Stop
7.7833,15.65
16.467,17.117
18.033,19.9
23.133,42.917
45.367,52.017
53.45,57.783
59.267,64.033
65.05,69.35
70.6,84.817
87.367,99.067
99.9,104.22
104.82,108.08
108.6,111.47
112.3,113.08
116.08,125.5
126.07,129.33
130.07,130.6
131.12,132
132.48,135.67
136.18,136.4
136.95,139.15
139.83,147.12
148.7,152.47
153.9,155.45
156.2,157.4
158.48,168.98
171.37,173.38
173.9,183.92
184.77,190.22
190.78,191.3
191.97,200.6
201.1,211.63
212.13,220.98
222.05,222.68
223.25,238.47
239.27,239.87
240.38,246.6
248.22,251.93
252.63,252.8
253.48,253.52
254.43,254.8
255.37,264.38
265.17,267.87
268.37,269.15
269.67,270.27
272.12,278.3
278.9,279.62
282.8,291.7
294.07,300.15
