Start,Stop
2.4836,7.3684
7.8947,8.0428
8.8651,21.316
21.809,29.984
30.641,31.562
33.026,34.293
35.066,36.398
37.007,37.5
38.421,41.365
41.941,42.993
43.816,47.418
48.01,55.033
55.987,57.089
58.388,58.766
59.655,60.674
61.513,61.941
62.961,63.47
64.062,67.072
67.566,69.852
70.543,81.168
82.056,82.796
84.112,84.556
86.102,86.99
87.582,90.855
91.546,95.148
95.773,97.549
98.174,98.602
99.671,100.33
101.18,102.88
104.14,104.74
105.82,111.55
112.37,115.54
116.07,116.53
117.29,118.91
119.46,120.94
121.46,121.63
122.2,125.13
126.41,127.15
128.19,129.11
130.67,131.2
132.66,133.09
134.01,146.89
147.47,153.52
154.26,158.4
159,175.97
176.48,280.33
281.12,282.53
283.52,289.13
289.62,300
