T1,T2
0.016667,1.6667
14.333,20
25.9,27.583
33.233,36.6
42.033,48.117
51.95,56.767
63.933,64.933
71.683,73.567
78.25,84.05
88.617,92.583
100.33,101.4
107.87,108.52
108.55,112.15
116.93,117.58
118.3,119.73
123.63,124.27
124.3,127.27
133.62,134.65
139.87,142.87
144.25,145.38
149,152.35
152.38,152.95
156.43,160.85
165.98,171.88
175.4,176.28
178.13,178.7
178.73,179.62
179.65,184.1
199.8,201.05
201.08,205.63
210.6,211.23
211.27,213.25
213.28,214.1
223.95,227.78
236.85,242.37
247.82,248.5
248.73,249.98
250.02,253.73
256.93,257.68
270.07,276.23
280.25,284.75
294.62,299
